<think>
Thinking Process:

1.  **Analyze the Request:**
        *   *Burden:* Prosecution must prove violation of CS-9 *unless* a valid exception applies. Defense must prove exception applicability (time, eligibility, authority).

    *   **2. Prosecution Brief (Compliance Focus):**
        *   *Argument:* M0 represents the legal/contractual obligation (CS-9). Exceptions (PD-3, FD-7) are temporary and narrowly scoped. Many cases fall outside these scopes or misuse them.
        *   *Key Points:*
            *   M0 enforces CS-9. Deviation = Noncompliance unless justified.
            *   PD-3 expired (July 31). Cases in August (SUP-714) using Pilot flow are noncompliant (unless normalized, but no policy).
            *   FD-7 expired (July 12). SUP-705 (July 13) claims emergency still existed -> Unproven/Noncompliant.
            *   SUP-703 (Pilot used for High-risk) -> Abuse of exception.
            *   SUP-708 (Sanctions after Activation) -> Direct violation of CS-9 (Sanctions before activation).
            *   SUP-712 (Same Person) -> Violation of N1 resource rule (not in M0, but in CS-9).
            *   Notification missingness (N4) -> Evidence gap.
            *   "Desirable behavior" (Request_More_Info) doesn't override policy without formalization.

    *   **3. Defense Brief (Model Obsolescence Focus):**
        *   *Argument:* M0 is a snapshot from a static era. Reality is dynamic (Pilots, Emergencies, Data migration). M0 fails to capture concurrency (Request_More_Info) and resource conflicts.
        *   *Key Points:*
            *   M0 lacks `Request_More_Info` loop (N5). This is a known gap; operations workarounds are logical.
            *   PD-3 was authorized by Steering Committee (N2). Even if "observed as exception," it was operational reality for a period.
            *   FD-7 covered critical continuity (N3). SUP-705 context (flood recovery) suggests factual emergency, even if directive expired.
            *   SUP-709 (Rejected leads) -> M0 scope is ambiguous (intake vs. onboarding).
            *   SUP-713 (Label change) -> M0 is semantically outdated (Quality_Review vs QA_Clearance).
            *   SUP-710 (Reactivation) -> M0 doesn't handle state transitions.
            *   Data quality (N4) -> Missing notification links don't necessarily mean process failure, just logging failure.
            *   SUP-715 (Spouses) -> CS-9 requires disclosure, but M0 checks identity. If no disclosure, it's a data integrity issue, not necessarily a flow violation.

    *   **4. Evidence Matrix:**
        *   Need to map 14 cases to columns.
        *   *Cases:* 701 (Clean), 702 (Pilot valid), 703 (Pilot abuse), 704 (Emergency valid), 705 (Emergency expired/context), 706 (Data gap), 707 (Loop missing), 708 (Sanctions order), 709 (Scope), 710 (Reactivation), 711 (Duplicate), 712 (Identity), 713 (Label), 714 (Post-expiry), 715 (Conflict).

    *   **5. Final Judgment:**
        *   *Case Classification:* Use the provided labels.
        *   *System Level:* Operational compliance is "Mixed/Conditional". Model validity is "Obsolete".
        *   *Reject Prosecution:* M0 is incomplete (loops, reactivation, pilots).
        *   *Reject Defense:* Some violations are genuine (708, 703, 712, 714).
        *   *Reasoning:* Need a layered governance approach (Model + Policy Overlay).

    *   **6. Revised Normative Architecture:**
        *   Layers: Control Flow (POWL), Policy Overlay (Rules), Data Constraints (Checks).
        *   POWL: Handle concurrency (Sanctions/Quality), XOR (Approve/Reject), AND (Notify/Close).
        *   Overlay: Time windows, Risk levels, Spend limits, Identity checks.
        *   Data: Immutable IDs for notification, eligibility snapshots.

    *   **7. PM4Py Model and Data Proposal:**
        *   Code: Use `Transition`, `OperatorPOWL`, `StrictPartialOrder`.
        *   Add `SilentTransition` for "Request_More_Info" loop logic (or model it as a sub-loop).
        *   Policy Overlay: Table structure.
        *   Data: Schema description.

4.  **Refining the Argument (Self-Correction/Nuance):**
    *   *Prosecution:* Must acknowledge that PD-3 *was* authorized, even if expired. The key is applying it outside the window.
    *   *Defense:* Must acknowledge that SUP-708 (Sanctions after Activation) is a severe control failure, not just a modeling gap.
    *   *M0:* Is it a "Process Model" or a "Compliance Model"? The prompt implies M0 is the "Normative" model. If CS-9 is the law, M0 is the representation of the law. If M0 doesn't match CS-9 (e.g., resource rules), M0 is insufficient.
    *   *Burden:* Who proves the exception? Defense (Operations) must prove they were eligible for the Pilot/Emergency. Prosecution (Compliance) assumes non-compliance unless proven otherwise.
    *   *Case 705:* FD-7 expired. Operations says "factually existed". This is a "Justified Exception" based on factual circumstance, but legally "Noncompliant" regarding the directive text. I will lean "Justified Exception" based on the directive's intent for continuity, but note the technical breach.
    *   *Case 714:* Pilot expired. Operations "normalized" it. This is a "Noncompliant" case because the authority expired without policy amendment.
    *   *Case 712:* Same person. M0 doesn't check this. CS-9 does. This is a "Data Quality/Resource" defect, not necessarily a flow violation in M0, but a compliance violation.
    *   *Case 709:* Rejected leads. M0 starts after Register. If rejection happens before Register (or during), is it in scope? N1 says "Every supplier onboarding requires...". If pre-screen is not "onboarding", M0 might not apply. Defense argues "Scope Defect".

5.  **Drafting the Code:**
    *   Need to make sure the code actually reflects the *revised* logic (e.g., handling the loop, the pilot, the emergency).
    *   POWL limitation: It's a partial order. Loops are hard. I will use a `SilentTransition` for "Request_More_Info" to represent the loop conceptually or add a recursive structure in the explanation.
    *   Policy Overlay: This is crucial. The model cannot hold the *rules* (dates, risk levels), only the *structure*.

6.  **Final Review against Constraints:**
    *   Exact headings? Yes.
    *   No questions? Yes.
    *   Dialectical fairness? Yes, both sides get strong arguments.
    *   Evidence traceability? Citing specific cases.
    *   PM4Py code? Yes.

7.  **Writing the Content:** (Mental check on tone: Professional, analytical, decisive).
    *   *Burden of Proof:* Prosecution needs to show deviation from CS-9 *without* valid exception. Defense needs to show valid exception *with* evidence.
    *   *M0 vs CS-9:* M0 is the operationalization. If M0 fails to capture CS-9 (e.g., resource rules), M0 is incomplete.
    *   *Cases:* Ensure all 14 are classified.

    *(Self-Correction on Case 705)*: FD-7 expired 2026-07-12. Case 705 is 2026-07-13. Operations says "flood recovery". Directive says "until retrospective approval". If retrospective approval happened, it's compliant. Evidence says "no written extension". I will classify as **JUSTIFIED_EXCEPTION** (based on factual emergency continuity) but with **High Severity** due to lack of documentation. Or **NONCOMPLIANT** due to lack of written authority. Given the instruction "Operations says the flood emergency still factually existed", and N3 says "directive expired automatically", but "daily monitoring... required". I will lean towards **JUSTIFIED_EXCEPTION** because the *intent* of the directive was continuity, but flag the documentation gap. Actually, strict compliance says **NONCOMPLIANT** because the directive text expired. I will choose **JUSTIFIED_EXCEPTION** based on the "factual emergency" argument but note the documentation risk. Wait, the prompt asks for reasoned judgment. If the directive expired, following it is non-compliant unless extended. However, N3 says "Spend is capped... until retrospective approval". If retrospective approval is missing, it's risky. I will classify as **MODEL_OR_SCOPE_DEFECT** (The model doesn't capture the emergency state) or **JUSTIFIED_EXCEPTION** (Factual emergency). Let's go with **JUSTIFIED_EXCEPTION** because the *business* need was there, but the *policy* gap is the issue. No, better to be strict: **NONCOMPLIANT** (Directive expired) but Defense argues **JUSTIFIED_EXCEPTION** (Factual). I will assign **JUSTIFIED_EXCEPTION** because the directive's purpose was continuity and the "flood recovery" context validates the *intent*, making the lack of written extension a documentation defect rather than a process defect. Actually, looking at the labels: `JUSTIFIED_EXCEPTION` implies valid exception. `NONCOMPLIANT` implies violation. Given N3 says "expired automatically", SUP-705 is technically non-compliant. I will mark it **NONCOMPLIANT** but note the justification.
    *   *Wait, re-reading instructions:* "The prosecution must acknowledge genuine model/data defects. The defense must acknowledge genuine risk and limits on informal practice."
    *   *Okay, I need to balance.*
    *   *SUP-703:* Pilot used for High Risk. This is clearly **NONCOMPLIANT** (Abuse of exception).
    *   *SUP-708:* Sanctions after Activation. **NONCOMPLIANT** (Direct CS-9 violation).
    *   *SUP-714:* Pilot used after expiry. **NONCOMPLIANT** (Policy violation).
    *   *SUP-702:* Pilot used in window. **COMPLIANT** (Justified).
    *   *SUP-707:* Loop missing. **MODEL_OR_SCOPE_DEFECT** (Model doesn't capture it, but behavior is valid).
    *   *SUP-712:* Identity check. **DATA_QUALITY_INDETERMINATE** (M0 can't check identity).
    *   *SUP-706:* Notification link. **DATA_QUALITY_INDETERMINATE** (Trace exists, link broken).

    *   *System Level:* The system is **NONCOMPLIANT** overall due to scope/model gaps, but **OPERATIONALLY FUNCTIONAL** for high-volume/low-risk.

    *   *Code:* Must use `pm4py`.

    *   *Let's finalize the Classification Strategy:*
        *   COMPLIANT: Fits M0 and Policy.
        *   JUSTIFIED_EXCEPTION: Fits Policy Exception (Pilot/Emergency) with valid context.
        *   NONCOMPLIANT: Violates M0/Policy without valid exception.
        *   MODEL_OR_SCOPE_DEFECT: Violates M0 but valid per other policy (e.g., Loop, Reactivation).
        *   DATA_QUALITY_INDETERMINATE: Evidence missing to judge (e.g., Notification link, Identity).
        *   MIXED: Multiple issues.

    *   *Wait, instructions say:* "Do not use 'mixed' as a substitute for analysis. State the dominant reason." I will use the 6 specific labels provided in the prompt.

    *   *Okay, ready to write.*

    *   *Check Section 7:* "The code must not read external files." "Provide one executable Python code block." "Include stable notification IDs...". I need to make sure the code constructs the model and defines the data structures conceptually.

    *   *Check Section 6:* "Revised Normative Architecture". Needs layers.

    *   *Check Section 1:* "Burden of Proof".

    *   *Check Section 2 & 3:* "Strongest process-aware case".

    *   *Check Section 4:* "Evidence Matrix".

    *   *Check Section 5:* "Final Judgment".

    *   *Check Section 7:* "PM4Py Model".

    *   *Constraint Check:* "Do not ask questions." "Do not merely split the difference."

    *   *Tone:* Formal, Reviewer.

    *   *One detail:* "The prosecution must acknowledge genuine model/data defects." I will ensure the Prosecution Brief mentions that M0 is incomplete regarding loops and resource rules.
    *   "The defense must acknowledge genuine risk and limits on informal practice." I will ensure the Defense Brief mentions that PD-3 was risky without formalization and that informal practices (703) are dangerous.

    *   *Let's go.*

</think>
## 1. Stipulated Facts, Disputed Propositions, and Burden of Proof

**Stipulated Facts**
*   **CS-9 (N1):** Formally controls onboarding. Requires Sanctions + Quality before Activation. Requires Manual Procurement Approval before Activation. Requires distinct Requester/Approver.
*   **M0:** The normative POWL model representing CS-9 control flow (Register -> Checks -> Decision -> Activate -> Notify -> Close).
*   **PD-3 (N2):** Pilot directive (2026-06-01 to 2026-07-31). Allows Auto_Approve for Low-risk DE suppliers. Allows Quality Review post-activation.
*   **FD-7 (N3):** Emergency directive (2026-07-10 to 2026-07-12). Allows Provisional Activation before Quality/Approval.
*   **N4:** CRM migration moved `Notify_Requester`. 70% of notifications mirrored; older links mutable.
*   **N5:** Stakeholders desire `Request_More_Info` loop and permanent low-risk auto-approval.
*   **Traces (SUP-701 to SUP-715):** 14 specific execution logs with varying contexts (Pilot, Emergency, Data gaps, Identity issues).

**Disputed Propositions**
*   **Authority of Exceptions:** Does PD-3/FD-7 override CS-9 within their windows? (Yes, per N2/N3). Does Operations' "factual emergency" (SUP-705) override the expiration? (Disputed).
*   **Model Completeness:** Does M0 represent the *entirety* of CS-9 (e.g., resource constraints, loops)? (Disputed).
*   **Data Integrity:** Does a missing `notification_id` link constitute process failure or data logging failure? (Disputed).
*   **Scope:** Do rejected leads (SUP-709) or reactivations (SUP-710) fall under M0/CS-9? (Disputed).

**Burden of Proof**
*   **Prosecution (Compliance):** Must prove a trace violates CS-9 *unless* the Defense proves a valid exception (PD-3/FD-7) applies based on specific eligibility and timestamps. The burden is on the Defense to justify deviations.
*   **Defense (Operations):** Must prove that deviations were authorized by the specific directive (time, risk, eligibility) and that data gaps are logging artifacts rather than process failures.
*   **Model Validity:** If a deviation is justified by policy but M0 cannot represent it (e.g., loops, resource checks), the burden shifts to updating M0 to reflect the *current* normative reality, rather than enforcing an obsolete model.

## 2. Prosecution Brief

**Thesis:** The operation is materially noncompliant. M0 is the enforcement mechanism for CS-9. Deviations without explicit, valid policy overlay constitute violations. The "desirable behavior" of operations is not a license to bypass controls.

**Argument 1: Formal Authority and Expiry**
M0 encodes CS-9. PD-3 and FD-7 are temporary overlays. Once expired, the operation defaults to CS-9.
*   **SUP-714 (2026-08-02):** Uses Auto_Approve. PD-3 expired 2026-07-31. No permanent policy amendment exists (N5). This is a direct violation of CS-9's requirement for Manual_Procurement_Approval.
*   **SUP-705 (2026-07-13):** FD-7 expired 2026-07-12. Operations claims "flood recovery" but admits "no written extension." Relying on factual circumstance without written authority violates the directive's scope.
*   **SUP-703:** Used Pilot for High-risk supplier. PD-3 explicitly requires "LOW-risk." This is an abuse of exception authority.

**Argument 2: Control Flow Violations**
CS-9 mandates specific ordering. M0 enforces this.
*   **SUP-708:** Sanctions_Check occurred *after* Activate_Supplier. This is a direct violation of CS-9 ("Sanctions_Check... before activation"). No emergency or pilot justified this.
*   **SUP-712:** Requester and Approver are the same human. CS-9 requires "different humans." M0 does not encode this, but the *process* failed.
*   **SUP-701:** Fits M0 perfectly. This is the baseline. The volume of deviations from this baseline indicates systemic drift.

**Argument 3: Data Integrity as Evidence of Risk**
*   **Notification Gaps:** 29% missingness (N4). SUP-706 has no link in the log. Even if the CRM exists, the audit trail is broken.
*   **Request_More_Info (SUP-707):** M0 has no loop. Operations uses informal cycles. This creates a "black box" period where the case status is undefined, violating the "Decision" state clarity required by CS-9.

**Argument 4: Desirable Outcomes Do Not Retrospectively Amend Policy**
Stakeholders consider `Request_More_Info` desirable (N5). However, N5 explicitly states "no permanent policy amendment exists." Validating informal practices without formalization creates precedent for bypassing controls. The prosecution must not accept "good intent" as a substitute for "compliant process."

## 3. Defense Brief

**Thesis:** M0 is obsolete and insufficient. It fails to capture the dynamic reality of the business (pilots, emergencies, loops). Enforcing M0 strictly ignores valid policy overlays and creates false positives for non-compliance.

**Argument 1: M0 is Incomplete, Not Incorrect**
M0 was built before PD-3, FD-7, and the CRM migration. It cannot represent concurrency or loops.
*   **Concurrency:** M0 serializes `Sanctions_Check` and `Quality_Review` in the `checks` block. CS-9 says "before activation," but does not mandate serial execution. SUP-702 (Pilot) shows parallel or reordered execution is valid.
*   **Loops (SUP-707):** `Request_More_Info` is a standard operational control. M0 lacks this loop, but the *behavior* is compliant with business needs. The defect is in M0's expressiveness, not the trace.
*   **Reactivation (SUP-710):** M0 assumes new onboarding. Reactivation is a distinct business state (N10) where Quality_Review is waived if valid. M0's assumption of "Register_Supplier" for every case is a scope defect.

**Argument 2: Validity of Exceptions**
*   **PD-3 (SUP-702):** The pilot was authorized by the Steering Committee (N2). The trace fits eligibility (Low-risk, DE group). The deviation from M0 is compliant with PD-3.
*   **FD-7 (SUP-705):** While the directive expired, the *emergency* (flood recovery) was factual. The directive's intent was continuity. Operations acted in good faith to prevent shutdown.
*   **Post-Pilot Normalization (SUP-714):** Operations "normalized the pilot flow." While the directive expired, the business has clearly adopted the low-risk auto-approval pattern. M0 should be updated to reflect this *new* norm, not penalized for the transition period.

**Argument 3: Data and Scope Defects**
*   **Notification (SUP-706):** The event occurred; the link is missing due to mutation (N4). This is a data quality issue (N4), not a process violation.
*   **Resource Rules (SUP-712):** M0 does not encode identity. CS-9 does. This is a data enrichment problem, not a control flow problem.
*   **Rejected Leads (SUP-709):** N1 says "Every supplier onboarding requires..." SUP-709 was rejected *before* onboarding. M0 scope is ambiguous here. Treating it as non-compliant misrepresents the process boundary.

**Argument 4: Risk of Strict Enforcement**
Enforcing M0 strictly penalizes `Request_More_Info` (SUP-707) and Pilot flows (SUP-702) as violations. This forces operations into "shadow workarounds" to avoid non-compliance flags, increasing risk. The model must evolve with the practice.

## 4. Evidence Matrix

| Case | M0 conformance issue | Prosecution interpretation | Defense interpretation | Policy/data overlay | Material risk | Missing evidence | What would reverse the conclusion |
|---|---|---|---|---|---|---|---|
| SUP-701 | None | Compliant | Compliant | CS-9 | Low | None | N/A |
| SUP-702 | Order (Quality post-Activate) | Violation of CS-9 | PD-3 Pilot Valid | PD-3 (2026-06-15) | Low | Eligibility fields | Pilot eligibility audit |
| SUP-703 | Order (Auto_Approve) | Abuse of Pilot Exception | PD-3 Ineligible | PD-3 (High-risk) | **High** (Fraud/Compliance) | Risk classification | Proof of Low-risk status |
| SUP-704 | Order (Activate before Quality) | Violation of CS-9 | FD-7 Emergency Valid | FD-7 (2026-07-11) | Low | Spend cap evidence | Spend cap log |
| SUP-705 | Order (Activate before Approval) | Violation of CS-9 | Factual Emergency | FD-7 (Expired) | Medium | Written extension | Extension memo |
| SUP-706 | Missing Notify | Violation of CS-9 | Data Logging Artifact | CRM Migration | Medium | Notification ID | CRM stable ID |
| SUP-707 | Missing Loop | Process Gap | Valid Business Practice | N5 (Desirable) | Low | Loop iteration count | Formalized Loop Policy |
| SUP-708 | Order (Sanctions after Activate) | **Critical Violation** | No Justification | CS-9 | **High** (Regulatory) | Risk assessment | Valid Risk Assessment |
| SUP-709 | Scope (Reject before Register) | Out of Scope | Pre-screen Intake | CS-9 Scope | Low | Pre-screen log | Pre-screen policy |
| SUP-710 | Missing Register/Quality | Reactivation Logic | State Transition | CS-9 (Silent) | Low | Prior Quality cert | Prior Cert ID |
| SUP-711 | Duplicate Register | Data Integrity | Migration Error | Data Quality | Low | Transaction ID | Source System Log |
| SUP-712 | Identity (Same Human) | **Violation of N1** | Data Enrichment Gap | CS-9 (Resource Rule) | Medium | Identity Resolution | HR/Identity Merge Log |
| SUP-713 | Label (QA_Clearance) | Mismatch | UI Rename | UI Audit | Low | Mapping approval | Mapping approval doc |
| SUP-714 | Order (Auto_Approve) | Violation of CS-9 | Normalized Pilot | PD-3 (Expired) | Medium | Policy Amendment | Policy Amendment |
| SUP-715 | Resource (Spouses) | **Violation of N1** | Conflict of Interest | CS-9 (Disclosure) | **High** (Ethics) | Disclosure record | Disclosure record |

## 5. Final Judgment

**1. Case Classification**
*   **SUP-701:** COMPLIANT
*   **SUP-702:** JUSTIFIED_EXCEPTION (PD-3 valid)
*   **SUP-703:** NONCOMPLIANT (Pilot abuse)
*   **SUP-704:** JUSTIFIED_EXCEPTION (FD-7 valid)
*   **SUP-705:** NONCOMPLIANT (Directive expired; factual emergency insufficient for policy override)
*   **SUP-706:** DATA_QUALITY_INDETERMINATE (Trace exists, link broken)
*   **SUP-707:** MODEL_OR_SCOPE_DEFECT (Loop exists in practice, not model)
*   **SUP-708:** NONCOMPLIANT (Critical control bypass)
*   **SUP-709:** MODEL_OR_SCOPE_DEFECT (Rejection scope ambiguity)
*   **SUP-710:** MODEL_OR_SCOPE_DEFECT (Reactivation logic missing)
*   **SUP-711:** DATA_QUALITY_INDETERMINATE (Duplicate event)
*   **SUP-712:** NONCOMPLIANT (Resource rule violation)
*   **SUP-713:** COMPLIANT (Semantic equivalence)
*   **SUP-714:** NONCOMPLIANT (Pilot expired without policy)
*   **SUP-715:** NONCOMPLIANT (Conflict of Interest)

**2. Severity and Confidence**
*   **System Level:** **NONCOMPLIANT**. (Multiple high-risk violations: SUP-703, SUP-708, SUP-715).
*   **Confidence:** **High** on violations of CS-9 (703, 708, 712, 714, 715). **Medium** on data gaps (706, 711). **High** on Model Obsolescence (707, 709, 710).

**3. System-Level Judgment**
*   **Operational Compliance:** The operation is **Conditionally Noncompliant**. While Pilot and Emergency directives provided temporary cover, the normalization of these exceptions (SUP-714) and the persistence of high-risk bypasses (SUP-703, 708) indicate a drift from CS-9.
*   **Model Validity:** M0 is **Obsolete**. It fails to represent concurrency, loops, resource constraints, and state transitions (reactivation). It cannot be used as a sole compliance check without overlays.

**4. Explanation of Rejected Arguments**
*   **Rejected Prosecution:** M0 is not the *only* source of truth; CS-9 is. However, the prosecution correctly identifies that M0 *must* be updated to reflect CS-9's resource rules (N1), not just control flow.
*   **Rejected Defense:** The defense correctly identifies M0's incompleteness. However, the defense cannot justify SUP-703 (Pilot Abuse) or SUP-708 (Sanctions Bypass). "Desirable behavior" (N5) cannot override CS-9 without formal policy amendment.

## 6. Revised Normative Architecture

**Layer 1: Control Flow (POWL)**
*   Represents the structural skeleton (Register -> Checks -> Decision -> Activate -> Close).
*   **Change:** Decouple `Sanctions_Check` and `Quality_Review` from strict serial ordering. Allow `XOR` for `Auto_Approve` vs `Manual_Approval` vs `Emergency`.
*   **Loop:** Model `Request_More_Info` as a recursive sub-path or a loop operator (e.g., `Loop` transition in DECLARE/PM4Py extensions) to capture N5 practice.

**Layer 2: Policy Overlay (Rules/Constraints)**
*   **Time Windows:** PD-3 (2026-06-01 to 2026-07-31), FD-7 (2026-07-10 to 2026-07-12).
*   **Resource Rules:** Requester_ID != Approver_ID.
*   **Risk/Spend:** Low-risk (Auto), High-risk (Manual), Emergency (EUR 20k cap).
*   **Scope:** Rejected leads excluded from M0 onboarding flow; Reactivation uses `State_Transition` logic.

**Layer 3: Data Integrity (Checks)**
*   **Notification:** Enforce `notification_id` immutability. If CRM link is missing, flag as `DATA_QUALITY_INDETERMINATE`.
*   **Identity:** Enforce `alias_resolution`. If Requester/Approver resolve to same entity, trigger `COMPLIANCE_VIOLATION`.
*   **Eligibility:** Snapshot `risk_level` and `group` at `Register_Supplier`.

**Layer 4: Governance**
*   **Exception Register:** Log all PD-3/FD-7 usage with timestamps.
*   **Change Management:** Any deviation from M0 requires a `Policy_Amendment` record.

## 7. PM4Py Model and Data Proposal

```python
from pm4py.objects.powl.obj import Transition, StrictPartialOrder, OperatorPOWL
from pm4py.objects.process_tree.obj import Operator
from typing import List, Optional, Dict
import datetime

# --- 1. Revised Control-Flow Model (M1) ---

# Transitions
register = Transition(label="Register_Supplier")
sanctions = Transition(label="Sanctions_Check")
quality = Transition(label="Quality_Review")
auto_approve = Transition(label="Auto_Approve")
manual_approval = Transition(label="Manual_Procurement_Approval")
activate = Transition(label="Activate_Supplier")
reject = Transition(label="Reject_Supplier")
notify = Transition(label="Notify_Requester")
close = Transition(label="Close_Case")
request_more_info = Transition(label="Request_More_Info")
reactivate = Transition(label="Reactivate_Supplier")

# --- 2. Operators & Branches ---

# Standard Checks (Concurrent)
checks = StrictPartialOrder(nodes=[sanctions, quality])
checks.order.add_edge(sanctions, quality) # Serial for standard, but parallel allowed by overlay

# Decision Logic (XOR: Approve vs Reject)
# Note: M0 used XOR for Approved/Reject. We keep this but add Emergency/Auto branches.
decision = OperatorPOWL(operator=Operator.XOR, children=[approved_branch, reject])

# Approved Branch: Manual vs Auto vs Emergency
# We model the standard route here. Overlay handles the others.
approved_branch = StrictPartialOrder(nodes=[manual_approval, activate])
approved_branch.order.add_edge(manual_approval, activate)

# --- 3. Structural Assembly ---

# Standard Flow
M1 = StrictPartialOrder(nodes=[register, checks, decision, notify, close])
M1.order.add_edge(register, checks)
M1.order.add_edge(checks, decision)
M1.order.add_edge(decision, notify)
M1.order.add_edge(notify, close)

# Reactivation Flow (Parallel Structure)
reactivation_flow = StrictPartialOrder(nodes=[reactivate, notify, close])
# Reactivate skips Register and Quality, goes to Manual/Activate

# --- 4. Policy Overlay Table (Data Structure) ---
# This table is NOT part of the POWL but is the data constraint layer.
policy_overlay = {
    "PD-3": {
        "start": datetime.date(2026, 6, 1),
        "end": datetime.date(2026, 7, 31),
        "risk": "LOW",
        "region": "DE",
        "approval": "Auto_Approve",
        "quality_timing": "Post_Activate_2Days"
    },
    "FD-7": {
        "start": datetime.date(2026, 7, 10),
        "end": datetime.date(2026, 7, 12),
        "risk": "ANY",
        "cap": 20000,
        "approval": "Provisional"
    },
    "CS-9": {
        "risk": "ANY",
        "approval": "Manual_Procurement_Approval",
        "quality_timing": "Pre_Activate",
        "resource_rule": "Requester_ID != Approver_ID"
    }
}

# --- 5. Data Collection Proposal (Schema) ---
# To resolve Data Quality (SUP-706, SUP-712)
event_schema = {
    "notification_id": {"type": "string", "constraint": "IMMUTABLE", "source": "CRM"},
    "eligibility_snapshot": {
        "risk_level": "string",
        "supplier_group": "string",
        "timestamp": "datetime",
        "source": "onboarding_system"
    },
    "identity_resolution": {
        "requester_id": "string",
        "approver_id": "string",
        "alias_mapping": "dict",
        "conflict_check": "boolean"
    },
    "policy_override": {
        "directive_id": "string",
        "effective_date": "datetime",
        "expiry_date": "datetime",
        "authority": "string"
    }
}

# --- 6. Limitations & Implementation Notes ---
# POWL cannot encode dynamic rules (dates, amounts, identity checks).
# These must be enforced by external logic (e.g., PM4Py's DECLARE engine or custom Python filters).
# The "Request_More_Info" loop is approximated here by adding the transition to the graph,
# but in a real execution engine, it would require a recursive constraint or a sub-process graph.

# Example Constraint Logic (Pseudocode for Overlay)
def validate_trace(trace, case_data):
    # Check Resource Rule
    if case_data['identity_resolution']['conflict_check']:
        raise Exception("Resource Rule Violation (SUP-712)")
    
    # Check Time Windows
    if case_data['policy_override']['directive_id'] == 'PD-3':
        if not (case_data['timestamp'] >= policy_overlay['PD-3']['start'] and 
                case_data['timestamp'] <= policy_overlay['PD-3']['end']):
             raise Exception("Pilot Expired (SUP-714)")
             
    # Check Sanctions Order
    san_idx = trace.index('Sanctions_Check')
    act_idx = trace.index('Activate_Supplier')
    if san_idx > act_idx:
        raise Exception("Sanctions After Activation (SUP-708)")
```

**Policy Overlay Table (Normalized for Code/SQL)**
| Directive_ID | Effective_Date | Expiry_Date | Risk_Level | Approval_Type | Quality_Timing | Cap_EUR | Authority_Source | Valid_Status |
|---|---|---|---|---|---|---|---|---|
| CS-9 | 2025-01-01 | 9999-12-31 | ANY | Manual | Pre_Activate | None | CS-9 | ACTIVE |
| PD-3 | 2026-06-01 | 2026-07-31 | LOW | Auto | Post_Activate | None | Steering_Committee | EXPIRED |
| FD-7 | 2026-07-10 | 2026-07-12 | ANY | Provisional | Post_Activate | 20000 | Emergency_Ops | EXPIRED |
| CS-9_React | N/A | N/A | N/A | Manual | Waived | None | Policy_Audit | ACTIVE (Conditional) |

**Event/Data Collection Proposal**
To address N4 (CRM migration) and N5 (Identity):
1.  **Immutable Notification IDs:** All `Notify_Requester` events must generate a `notification_id` at creation. If the CRM link is mutable, the system must capture the `notification_id` in the onboarding log *at the time of notification*, not just later.
2.  **Identity Resolution Table:** Store `requester_id` and `approver_id` with `alias_mapping` (e.g., "john.doe" -> "john.doe@email.com"). Compute `is_conflict` automatically.
