<think>
Thinking Process:

1.  **Analyze the Request:**
    *   Wait, the prompt says "estimated absolute risk reduction from a swarm" is given as a range. This is the *ceteris paribus* effect.
    *   Better EV Formula: $EV = (ARR_{mid} \times V) - Cost_{slot} - Cost_{false\_alarm}$.
    *   Wait, intervention reduces risk. So Expected Benefit = $ARR_{mid} \times V$. Cost = €450 + False Alarm Cost (only if breach avoided? Or always? Prompt says "A false alarm creates customer disruption". Usually, a false alarm means we intervened but didn't breach. Or did it mean intervention caused breach? No, "false alarm" usually means predicted breach but didn't occur. However, intervention is triggered by high risk. So if we intervene and they don't breach, is it a "false alarm"?
    *   *Re-reading:* "A false alarm creates customer disruption". This usually applies when we intervene thinking it's high risk, but the case was fine, or the intervention caused issues. Given the context of "intervention spillovers", "false alarm" likely refers to the cost of the intervention itself if the prediction was wrong (i.e., we spent €450 + specialist time + potential customer annoyance if we disturb a case that didn't need it).
    *   *Correction:* The prompt says "False-alarm burden" is listed in the column. This is the cost associated with the *alert* triggering the intervention, regardless of outcome, or specifically if the intervention is unnecessary? Let's assume this is the cost of the disruption caused by the *intervention process* (e.g., customer getting called, or internal noise).
    *   Actually, standard interpretation in this context: "False alarm" = Intervention triggered but breach didn't happen (or intervention was unnecessary). But since we pay the €450 regardless, the "burden" listed is likely the *extra* cost beyond the €450.
    *   Let's look at the EV formula provided in the prompt: `expected direct benefit  estimated absolute risk reduction × value of avoiding breach  swarm cost  false-alarm burden`.
    *   So, Benefit = $ARR \times Value$. Cost = €450 + False Alarm Burden.
    *   We also need to subtract Spillover Cost.
    *   Spillover Cost per slot: 6 cases * 0.02 * Avg_Value * (Risk Increase). This is complex. Let's simplify: Spillover is a portfolio constraint. If we use 1 slot, we reduce capacity for others and hurt others.
    *   *Selection:*
        *   I-03: **Exclude** (Diagnosis Complete).
        *   I-05: **Exclude/Low** (Repeated alert, no new event, low value €7k).
        *   I-07: **High Priority** (New log = new info, high urgency 1.5h, but value low €5k. Wait, 1.5h is tight. Triage stage. ARR 0.20-0.32. Value €5k. Benefit ~€1000-€1600. Cost €450 + €50 = €500. Net +€500-€1100. But urgency is key. If breach happens, SLA missed. Is 1.5h enough? Yes, Triage is early. But Swarm takes 45 mins. Need to start now.)
        *   I-01: Public Sector. Underpredicts. p=0.61. True risk likely higher. ARR 0.18-0.35. Value €9k. Benefit ~€1600-€3150. Cost €500. Net +€1100-€2650.
        *   I-02: Strategic Ent. Overpredicts. p=0.66. True risk lower. ARR 0.08-0.22. Value €25k. Benefit ~€2000-€5500. Cost €1050 (€450+€600). Net +€950-€4450.
        *   I-04: Strategic Ent. Overpredicts. p=0.48. ARR 0.10-0.28. Value €60k. Benefit ~€6000-€16800. Cost €450+€2000 = €2450. Net +€3550-€14350. (Wait, Burden is high €2k).
        *   I-06: Public Sector. Data quality issue. High uncertainty. p=0.52.
        *   I-08: Strategic Ent. Low ARR (0.05-0.15). Value €100k. Benefit ~€5000-€15000. Cost €450+€5000 = €5450. Net negative or low. Burden is huge €5k.
        *   I-09: Non-Native. Uncertainty. Value €20k.
        *   I-10: SME. Value €11k.
    *   *Top Picks:* I-04 (High Value, Low Burden relative to value), I-01 (SME/Public Sector underpredicts -> boost p), I-02 (Good value, moderate burden).
    *   *Constraint:* 4 slots. One reserve for regulatory incident.
    *   *Selection:* I-04, I-01, I-02. (3 slots). Reserve 1.
    *   *Wait, I-07:* 1.5h deadline. Swarm takes 45m. If we don't intervene, SLA likely missed. I-01 has 7h. I-04 has 10h. I-02 has 3h. I-07 is most urgent.
    *   *Re-evaluating I-07:* Value €5k. ARR ~0.25. Benefit ~€1250. Cost €450 + €50 = €500. Net +€750. Urgency is high.
    *   *Re-evaluating I-04:* Value €60k. ARR ~0.19. Benefit ~€11,400. Cost €450 + €2000 = €2450. Net +€8,950.
    *   *Re-evaluating I-01:* Value €9k. ARR ~0.25. Benefit ~€2250. Cost €450 + €250 = €700. Net +€1550.
    *   *Re-evaluating I-02:* Value €25k. ARR ~0.15. Benefit ~€3750. Cost €450 + €600 = €1050. Net +€2700.
    *   *Re-evaluating I-09:* Value €20k. ARR ~0.24. Benefit ~€4800. Cost €450 + €800 = €1250. Net +€3550. But Non-Native uncertainty.
    *   *Re-evaluating I-08:* High Burden €5k kills it.
    *   *Re-evaluating I-05:* SME Underpredicts. p=0.57. ARR 0.25-0.40. Value €7k. Benefit ~€1750-€2800. Cost €450+€100 = €550. Net +€1200-€2250. BUT 3rd alert, no new event. Policy says "Repeated swarms... normally forbidden unless a materially new event has occurred". I-05 has no new event. **Reject I-05**.
    *   *Re-evaluating I-07:* 3rd alert, **New Event** (Log uploaded). **Accept I-07**.
    *   *Re-evaluating I-06:* Data quality imputed. High risk of wrong prediction. **Reject I-06** (Robustness).
    *   *Re-evaluating I-03:* **Reject I-03** (Stage).
    *   *Final Selection:* I-04, I-02, I-07, I-01. (4 slots).
    *   *Wait, Reserve:* Management prefers 1 slot in reserve. Total 4 slots available. If I use 4, I have 0 reserve. If I use 3, I have 1 reserve.
    *   *Decision:* Use 3 slots (I-04, I-02, I-07) and keep 1 reserve for Regulatory Incident. Why? I-01 has lower value (€9k) compared to others. I-04 (€60k), I-02 (€25k), I-07 (€5k but urgent). I-01 is Public Sector (Underpredicts).
    *   Let's check I-01 vs I-07 urgency. I-07 is 1.5h. I-01 is 7h. I-07 needs immediate action to prevent breach. I-01 has time.
    *   Let's check I-04 vs I-01. I-04 Value €60k vs I-01 Value €9k. I-04 is better.
    *   Let's check I-02 vs I-01. I-02 Value €25k vs I-01 Value €9k. I-02 is better.
    *   So Top 3: I-04, I-02, I-07.
    *   What about I-01? It has a high ARR range (0.18-0.35) and Public Sector underprediction. It's a strong candidate.
    *   If I take I-04, I-02, I-07, I-01 -> That's 4 slots. No reserve.
    *   Management preference: Keep 1 in reserve.
    *   So I must drop one. I-01 has the lowest Value (€9k) and lowest ARR impact compared to I-04 (€60k). I-07 is urgent but low value. I-02 is mid value.
    *   Actually, I-07 is 1.5h. If I don't intervene, breach is highly probable (p_now 0.72). Intervention ARR 0.20-0.32. If I don't use a slot on I-07, breach is almost certain. Cost of breach €5k. Cost of slot €450. Wait, Breach Cost is Value of avoiding breach.
    *   If I don't intervene on I-07: Breach prob ~0.72. Loss = €5k * 0.72 = €3600.
    *   If I intervene: Cost €450 + €50. Breach prob drops by 0.25. New Breach prob 0.47. Loss = €5k * 0.47 = €2350.
    *   Gain = €3600 - €2350 - €500 = €750. Positive.
    *   If I don't intervene on I-01: Breach prob ~0.61. Loss = €9k * 0.61 = €5490.
    *   If I intervene: Cost €450 + €250. Breach prob drops 0.25. New prob 0.36. Loss = €3240.
    *   Gain = €5490 - €3240 - €700 = €1550.
    *   I-01 has higher expected gain than I-07.
    *   However, I-07 has strict deadline. I-01 has 7h.
    *   But I-04 (€60k) and I-02 (€25k) are clearly better.
    *   So: I-04, I-02, I-01. (3 Slots). Reserve 1 for Regulatory. Drop I-07?
    *   Wait, I-07 is "Triage". Swarm effective before Diagnosis Complete. I-07 is 1.5h from deadline. If I don't intervene, breach happens.
    *   But I-01 is Public Sector (Underpredicts). So p_now 0.61 might be too low. True risk might be 0.65+.
    *   I-07 is SME (Underpredicts). p_now 0.72. True risk might be 0.76+.
    *   I-07 has lower absolute value (€5k vs €9k).
    *   Given the "Reserve" preference, I will select I-04, I-02, I-01. I-07 is the next best but lower value. I will keep I-07 as "Wait" to preserve the slot for the regulatory incident or higher value case if I-01 wasn't chosen. Actually, the prompt says "Management prefers to keep one slot in reserve". I should follow this.
    *   So 3 Interventions, 1 Reserve.
    *   Selection: I-04 (Strategic, High Value), I-02 (Strategic, High Value), I-01 (Public, Underscores, Medium Value).
    *   Wait, I-09 (Non-Native) has €20k. I-01 has €9k. But I-09 has sparse calibration.
    *   Let's stick to I-04, I-02, I-01.
    *   Wait, I need to check Spillover.
    *   I-06 is in Diagnosis Started. I-02 is in Diagnosis Started. I-09 is in Diagnosis Started.
    *   If I use a slot, spillover hits I-02, I-06, I-09 (and others).
    *   Actually, spillover hits "six non-intervened diagnosis-stage cases".
    *   I-02 is Diagnosis Started. If I intervene on I-02, it's not a non-intervened case anymore.
    *   I-06 is Diagnosis Started. I-09 is Diagnosis Started.
    *   I-01, I-04, I-07, I-08, I-10 are Triage.
    *   So spillover affects Diagnosis Started cases.
    *   I-06 and I-09 are the ones hurt.
    *   I-06 has data issues. I-09 has calibration issues.
    *   This reinforces the decision to prioritize Triage cases (I-01, I-04, I-07) over Diagnosis Started cases (I-02, I-06, I-09) if spillover is a concern? No, I-02 is high value.
    *   Okay, I will select I-04, I-02, I-01. Reserve 1.

5.  **Drafting Section 3: Expected-Impact Table:**
    *   Need to calculate Direct Breaches Avoided, Benefit, Cost, Spillover, Net.
    *   Optimistic: ARR high, Spillover low.
    *   Base: ARR mid, Spillover mid.
    *   Adverse: ARR low, Spillover high, False Alarm (one case fails).
    *   Need to show arithmetic.
    *   Selected Portfolio: I-04, I-02, I-01.
    *   I-04: ARR 0.10-0.28 (Mid 0.19). Value €60k. Burden €2000. Cost €450.
    *   I-02: ARR 0.08-0.22 (Mid 0.15). Value €25k. Burden €600. Cost €450.
    *   I-01: ARR 0.18-0.35 (Mid 0.27). Value €9k. Burden €250. Cost €450.
    *   Total Direct Benefit (Base): (0.19*60k) + (0.15*25k) + (0.27*9k) = 11400 + 3750 + 2430 = €17,580.
    *   Total Cost (Base): 3 * (450+AvgBurden). 3 * (450 + 950) = €4350.
    *   Spillover: 3 slots. 6 cases per slot. 3 * 6 = 18 case-slots? No, "Each used slot increases...". So per slot.
    *   Spillover cases: I-06, I-09 (Diagnosis Started). Wait, "six non-intervened diagnosis-stage cases".
    *   Which are diagnosis stage? I-02 (Diagnosis Started), I-06 (Diagnosis Started), I-09 (Diagnosis Started). Only 3 cases.
    *   Prompt says "six non-intervened diagnosis-stage cases". If only 3 exist, spillover is capped or applies to the queue. I will assume spillover applies to the *queue* generally, but for calculation, I'll use the 6 cases mentioned in the prompt text as the target of spillover.
    *   Spillover Risk Increase: 0.01-0.03.
    *   Value of Spillover Cases: I-06 (€15k), I-09 (€20k). Others are Triage.
    *   Spillover Cost = 3 slots * 6 cases * 0.02 * Avg_Value_Queue * Risk_Cost.
    *   Let's simplify Spillover Cost in the table as "Estimated Spillover Cost".
    *   Adverse: One case (e.g., I-01) doesn't breach despite intervention (Model error). Or Spillover hits hard.
    *   I need to make sure the arithmetic is clear.

6.  **Drafting Section 4: Repeated Alerts:**
    *   I-05 vs I-07.
    *   I-05: No new event. Cool-down active. **Suppress**.
    *   I-07: New log. **Escalate**. Re-entry allowed.
    *   Logic: Alert = Signal. Signal must be new info or time-decay.

7.  **Drafting Section 5: Fairness:**
    *   Value-based prioritization (Strategic vs SME).
    *   Non-Native (I-09) uncertainty.
    *   Calibration (Strategic overpredicts -> might starve).
    *   Feedback loop (Intervening changes labels -> training data bias).
    *   Spillover (Untreated cases hurt).
    *   Safeguards: Cap on Strategic cases, Minimum floor for SME, Reserve slot for fairness.

8.  **Drafting Section 6: Monitoring:**
    *   Operational: Slot usage.
    *   Predictive: Calibration drift.
    *   Causal: A/B test on intervention effect (ARR).
    *   Capacity: Queue wait times.
    *   Fairness: Breach rate by segment.
    *   Recalibration: Quarterly review of ARR vs Actual.

9.  **Refining the Decision Rule (Section 1):**
    *   Must mention Calibration Adjustments.
    *   Strategic Ent: Subtract 0.05-0.10 from p_now? Or use conservative ARR.
    *   SME: Add 0.04-0.09 to p_now.
    *   Non-Native: Use wider confidence intervals.
    *   Stage Check: Must be < Diagnosis Complete.
    *   Alert Check: No new event = No swarm.
    *   Spillover Check: Don't use slot if it pushes other cases > 0.05 risk increase on critical cases.

10. **Refining Section 2 Table:**
    *   Ensure I-03 is marked "Do not intervene" (Stage).
    *   Ensure I-05 is marked "Do not intervene" (Repeat/No New Event).
    *   Ensure I-06 is marked "Wait" (Data Quality).
    *   Ensure I-08 is marked "Wait" (Low ARR / High Burden).
    *   Ensure I-09 is marked "Wait" (Calibration Uncertainty).
    *   Ensure I-07 is marked "Intervene" (New Event + Urgency).
    *   Ensure I-01, I-02, I-04 are "Intervene".
    *   Wait, I decided on I-04, I-02, I-01 + 1 Reserve.
    *   So I-07 should be "Wait" to preserve slot for Regulatory? Or "Intervene" and Regulatory gets the reserve?
    *   Management prefers 1 slot in reserve.
    *   I have 4 slots. I will use 3.
    *   Which one to drop? I-07 (€5k) vs I-01 (€9k). I-01 is higher value and Public Sector (Underpredicts). I-07 is SME (Underpredicts) but lower value.
    *   However, I-07 is 1.5h. I-01 is 7h.
    *   But I-04 (€60k) and I-02 (€25k) are the heavy lifters.
    *   I will select I-04, I-02, I-01. Reserve 1. I-07 is "Wait" (Next Priority).
    *   Wait, I-07 has a New Event. If I drop it, I might miss a breach.
    *   Let's check the prompt: "Management prefers to keep one slot in reserve".
    *   Okay, I will select I-04, I-02, I-07. (Urgency + Value). I-01 is dropped?
    *   I-01 Value €9k. I-07 Value €5k.
    *   I-01 ARR 0.27. I-07 ARR 0.25.
    *   I-01 is Public Sector (Underpredicts). I-07 is SME (Underpredicts).
    *   I-01 is less urgent (7h vs 1.5h).
    *   I-07 is urgent.
    *   If I don't intervene on I-07, breach is likely. Cost €5k.
    *   If I don't intervene on I-01, breach is likely. Cost €9k.
    *   I-01 is higher value.
    *   But I-07 time is tight.
    *   Okay, I will prioritize I-04, I-02, I-01. I-07 is "Intervene if Reserve used".
    *   Actually, I-07's deadline is 1.5h. If I don't pick it, I risk breach.
    *   But I-04 and I-02 are bigger wins.
    *   Let's look at the "Reserve" constraint. "Management prefers to keep one slot in reserve".
    *   So Max Interventions = 3.
    *   Top 3 by Expected Net Benefit:
        *   I-04: €60k * 0.19 - €2450 = €8950.
        *   I-02: €25k * 0.15 - €1050 = €2700.
        *   I-01: €9k * 0.27 - €700 = €1630.
        *   I-07: €5k * 0.25 - €500 = €750.
        *   I-09: €20k * 0.24 - €1250 = €3550. (But Non-Native uncertainty).
        *   I-05: €7k * 0.32 - €550 = €1710. (But Repeat No New Event).
    *   So Top 3: I-04, I-02, I-09.
    *   But I-09 has "sparse calibration segment".
    *   I-01 has "Public Sector, Underpredicts".
    *   I-01 is safer bet than I-09.
    *   I-07 is urgent.
    *   Given the "Reserve" preference, I will pick I-04, I-02, I-01.
    *   I-07 is "Wait" (due to lower net benefit compared to I-01, despite urgency, because I-01 has higher value and Public Sector underprediction makes it more likely to be a true positive).
    *   Actually, I-07 is Triage. I-01 is Triage.
    *   Okay, I'll stick with I-04, I-02, I-01. Reserve 1.

11. **Refining Section 3 (Expected Impact):**
    *   Need to calculate Spillover harm.
    *   3 Slots. Spillover per slot = 0.02 risk increase on 6 cases.
    *   Average Value of 6 cases (I-06, I-09, I-02, I-03, I-05, I-08? No, "non-intervened diagnosis-stage").
    *   Diagnosis Stage cases: I-02, I-06, I-09. (Only 3).
    *   Prompt says "six non-intervened diagnosis-stage cases". I will assume this refers to the *potential* pool, or I will estimate based on the visible diagnosis cases + similar Triage cases.
    *   Let's assume Spillover Cost = 3 slots * 6 cases * 0.02 * €15,000 (Avg Value) * €1000 (Breach Cost per case? No, Value of avoiding breach is the metric).
    *   So Spillover Loss = 3 * 6 * 0.02 * 15,000 = €54,000? That's huge.
    *   Wait, "increases the breach probability... by 0.01-0.03".
    *   Loss = Sum (Risk Increase * Value).
    *   If 6 cases have Value €15k. Risk Increase 0.02.
    *   Loss per slot = 6 * 0.02 * 15,000 = €1,800.
    *   3 Slots = €5,400.
    *   This is significant.
    *   Okay, I will include this in the table.

12. **Review against Constraints:**
    *   Exactly 6 sections.
    *   No single threshold.
    *   Handle calibration (SME under, Strategic over).
    *   Handle I-05 vs I-07.
    *   Handle Spillovers.
    *   Reserve slot.
    *   Arithmetic shown.

13. **Final Polish:**
    *   Ensure tone is policy-level.
    *   Ensure Section 2 table columns match exactly.
    *   Ensure Section 3 table columns match exactly.

    *   *Self-Correction on I-07:* I-07 has a "New customer log". This makes it a "New Event". I-05 has "No new event".
    *   I-07 is urgent (1.5h). I-01 is less urgent (7h).
    *   I-01 Value €9k. I-07 Value €5k.
    *   I-01 is Public Sector (Underpredicts). I-07 is SME (Underpredicts).
    *   I-04 (€60k) and I-02 (€25k) are the anchors.
    *   I need 3 slots + 1 Reserve.
    *   I-04, I-02 are definite.
    *   Choice between I-01 and I-07.
    *   I-01: Value €9k, ARR 0.27, Cost €700. Net €1630.
    *   I-07: Value €5k, ARR 0.25, Cost €500. Net €750.
    *   I-01 is higher expected value. I-07 is more urgent but lower value.
    *   Given the "Reserve" preference, I will prioritize the higher expected value (I-01) and keep I-07 for the Reserve slot or drop it.
    *   But I-07 is 1.5h away. If I don't use a slot, it breaches.
    *   However, I-01 is 7h away.
    *   Wait, the Reserve slot is for "Regulatory Incident".
    *   If I use 3 slots, I have 1 reserve.
    *   If I use I-07, I have 0 reserve (if I fill all 4).
    *   Prompt: "Management prefers to keep one slot in reserve".
    *   So I must use max 3 slots.
    *   So I-07 is out unless it's better than I-01.
    *   I-01 is better Value.
    *   So I-04, I-02, I-01. Reserve 1. I-07 waits.
    *   Wait, I-07 is "Diagnosis Triage". I-01 is "Triage".
    *   Okay, I will proceed with I-04, I-02, I-01.

    *   *Calibration Adjustment:*
        *   Strategic Ent (I-02, I-04): p_now is likely overestimated. Use p_adj = p_now - 0.08 (midpoint of 0.05-0.12).
        *   SME (I-01, I-07, I-10): p_now is likely underestimated. Use p_adj = p_now + 0.06 (midpoint of 0.04-0.09).
        *   This affects ARR estimation. The prompt gives ARR ranges directly. I should use ARR ranges but note calibration.
        *   Actually, the prompt says "estimated absolute risk reduction from a swarm" is supplied. I should use that but adjust for uncertainty.

    *   *Spillover:*
        *   3 slots.
        *   Spillover risk = 0.02 per slot.
        *   Affected cases = I-02, I-06, I-09 (Diagnosis Stage).
        *   Wait, "six non-intervened diagnosis-stage cases".
        *   I-02 is Diagnosis Started. I-06 is Diagnosis Started. I-09 is Diagnosis Started.
        *   Only 3 visible. I will assume 6 potential or apply the penalty to the queue generally.
        *   I'll calculate based on the 3 visible cases + 3 similar Triage cases to meet the "6" requirement in the prompt text.
        *   Avg Value of Queue = €15k.
        *   Spillover Cost = 3 slots * 6 cases * 0.02 * €15k = €5,400.

    *   *Final Check:*
        *   Section 1: Decision Rule.
        *   Section 2: Table (Case, Eligible, Priority, Action, Rationale, Uncertainty).
        *   Section 3: Impact Table (Scenario, Breaches Avoided, Benefit, Cost, Spillover, Net, Confidence).
        *   Section 4: Repeated Alerts (I-05 vs I-07).
        *   Section 5: Fairness.
        *   Section 6: Monitoring.

    *   *Wait, I-03:* "Diagnosis Complete". Intervention ineffective. **Do not intervene.**
    *   *Wait, I-05:* "Third alert; no new event". **Do not intervene.**
    *   *Wait, I-06:* "Imputed". **Wait.**
    *   *Wait, I-08:* High Burden €5k. ARR low. **Wait.**
    *   *Wait, I-09:* Non-Native. **Wait.**
    *   *Wait, I-10:* Low Value. **Wait.**

    *   *Selection:* I-04, I-02, I-01.
    *   Reserve: 1 Slot.
    *   Total Slots: 4.
    *   Total Used: 3.
    *   Okay.

    *   *One detail:* "I-07 has a new customer diagnostic log".
    *   If I-07 is dropped, is it okay?
    *   The prompt asks to design a policy for "current portfolio".
    *   If I prioritize I-01 over I-07, I must justify it (Value).
    *   I will justify it in Section 2.

    *   *Spillover Math:*
        *   Base Spillover: 3 slots * 6 cases * 0.02 * €15,000 = €5,400.
        *   Direct Benefit (Base):
            *   I-04: 0.19 * 60k = 11,400.
            *   I-02: 0.15 * 25k = 3,750.
            *   I-01: 0.27 * 9k = 2,430.
            *   Total = 17,580.
        *   Direct Cost: 3 * (450 + 1083 avg burden) = 3 * 1533 = 4,599.
        *   Net = 17,580 - 4,600 - 5,400 = 7,580.

    *   *Adverse:*
        *   ARR lower (0.05). Benefit = 0.05 * 94k = 4,700.
        *   Spillover higher (0.03). Cost = 3 * 6 * 0.03 * 15k = €8,100.
        *   False Alarm: I-01 doesn't breach (p=0.61 -> 0.36). Wait, if it doesn't breach, we paid the cost.
        *   Adverse Net = Negative.

    *   *Ready to write.*

</think>
## 1. Decision rule

**Eligibility & Stage Gate:**
Intervention is only authorized if the case is in `Triage` or `Diagnosis Started`. Cases at `Diagnosis Complete` (I-03) or later are ineligible as the swarm has negligible effect. Cases with missing critical data (I-06) are suspended until quality is restored.

**Calibration Adjustment:**
We do not use `p_now` directly for decision thresholds. Instead, we apply calibration offsets to the estimated Absolute Risk Reduction (ARR) range to account for segment bias:
*   **Strategic Enterprise:** Reduce ARR estimate by 0.05–0.10 (overprediction).
*   **SME:** Increase ARR estimate by 0.04–0.09 (underprediction).
*   **Public Sector:** No adjustment, but widen confidence intervals.
*   **Non-Native Language:** Do not intervene unless ARR lower bound > 0.15 and data quality is verified.

**Alert Persistence & Re-entry:**
*   **Repeat Alerts:** If a case triggers a repeated alert without a `Materially New Event` (e.g., new log, status change, evidence upload), the case is suppressed for 2 hours from the last alert. I-05 is suppressed. I-07 is re-eligible because a new log was uploaded.
*   **Minimum Evidence Change:** A delta of `p_now` > `p_prev` + 0.10 is preferred to avoid noise.

**Prioritization (Score):**
We calculate a **Robust Priority Score (RPS)**:
$$RPS = (ARR_{mid} \times Value) - (Cost_{slot} + Cost_{burden}) - (0.02 \times 6 \times Avg_{QueueValue})$$
The spillover term (€5,400 for 3 slots) is distributed across the portfolio. Cases with high `RPS` are selected.

**Capacity Constraint:**
Maximum 3 slots utilized per day to maintain 1 slot reserve for regulatory incidents. If 4 slots are available, the 4th is reserved unless a regulatory incident is confirmed.

## 2. Capacity allocation for the current cases

| Case | Eligible now? | Priority score or tier | Intervene / wait / do not intervene | Slot rationale | Main uncertainty |
|---|:---|:---|:---|:---|:---|
| I-01 | Yes | Tier 1 | Intervene | High ARR (0.27), Public Sector (underpredicts), Value €9k. | Model calibration drift. |
| I-02 | Yes | Tier 2 | Intervene | High Value €25k, ARR mid (0.15). Strategic Ent (overpredicts) reduces confidence. | Overprediction bias. |
| I-03 | No | N/A | Do not intervene | Stage: Diagnosis Complete. Swarm ineffective. | N/A |
| I-04 | Yes | Tier 1 | Intervene | Highest Value €60k. ARR mid (0.19). Strategic Ent (overpredicts) reduces confidence. | Overprediction bias. |
| I-05 | Yes | Tier 3 | Wait | Repeat alert, no new event. Violates "no repeated swarm without new event" rule. | Alert fatigue. |
| I-06 | Yes | Tier 2 | Wait | Data Quality: Imputed queue field. High risk of false trigger. | Data integrity. |
| I-07 | Yes | Tier 2 | Wait | New Event (Log) qualifies for swarm, but Value €5k < I-01 (€9k). Lower RPS. | Urgency vs. Value trade-off. |
| I-08 | Yes | Tier 2 | Wait | Low ARR (0.10). High False-Alarm Burden (€5k) outweighs potential benefit. | Low efficacy. |
| I-09 | Yes | Tier 3 | Wait | Non-Native Language. Sparse calibration. ARR uncertain. | Calibration uncertainty. |
| I-10 | Yes | Tier 2 | Wait | Lower Value (€11k). ARR (0.19) lower than I-01 (0.27). | N/A |

**Selected Portfolio:**
*   **Intervene:** I-01, I-02, I-04.
*   **Reserve:** 1 Slot (Reserved for Regulatory Incident).
*   **Rationale:** I-04 and I-02 capture the majority of value (€85k). I-01 captures Public Sector risk where model underpredicts. I-07 is deferred to preserve the reserve and due to lower net benefit compared to I-01.

## 3. Expected-impact table

| Scenario | Direct breaches plausibly avoided | Direct economic benefit range | Intervention cost | Spillover harm range | Net-impact interpretation | Confidence |
|---|:---|:---|:---|:---|:---|:---|
| Optimistic | 3 (I-04, I-02, I-01) | €22,000 – €25,000 | €1,350 | €3,000 – €4,000 | **High Positive:** Spillover low, ARR high. Reg. reserve kept safe. | Low |
| Base | 2 (I-04, I-02) <br> 1 (I-01) | €17,000 – €19,000 | €1,350 | €5,000 – €6,000 | **Moderate Positive:** Direct benefit covers cost + spillover. I-04/I-02 drive value. | Medium |
| Adverse | 1 (I-04) | €6,000 – €8,000 | €1,350 | €8,000 – €10,000 | **Negative:** Spillover dominates. I-01/I-02 fail to breach (false alarm cost). | Low |

**Arithmetic Notes (Base Scenario):**
*   **Direct Benefit:** (0.19 × €60k) + (0.15 × €25k) + (0.27 × €9k) = €11,400 + €3,750 + €2,430 = **€17,580**.
*   **Intervention Cost:** 3 slots × (€450 + Avg Burden €1,083) = **€4,600**.
