<think>
Here's a thinking process that leads to the final answer:

1.  **Analyze the Request and Constraints**:
        *   **e09/e10**: e09 (Dispatch/Carrier acceptance) vs e10 (Handover to Carrier). Fact 5: e10 occurs after carrier acceptance, all at 10:15:00. -> They are sequential steps in carrier handover. e09 is acceptance, e10 is handover. Retain both, order e09 before e10 based on lifecycle (acceptance before handover).
        *   **e11/e16**: Same invoice V1. ERP vs Billing. Fact 6: Each authoritative for different attributes. -> Retain both, maybe merge attributes but keep distinct eids. Or label one as "primary invoice" based on source authority. Decision: Retain both with attribute merge policy distinguishing ERP vs Billing authority.
        *   **e13/e14**: Both Capture Payment, but different payment objects M1 vs M2. Fact 7: e12 must precede e13 for M1. e14 concerns distinct partial payment M2. -> These are *different* payments. They happen at same timestamp but are distinct. Decision: Retain both unchanged. They are not duplicates; they are parallel/sequential partial payments.
        *   **e13/e15**: e13 is Capture Payment (PSP M1), e15 is ERP summary payment (no Payment object). Fact 8: e15 is summary generated after payment messages, no Payment object. -> e15 is a summary/derivative. Decision: Retain both. e15 is a summary event, keep e13 as the detailed capture. Do not merge e15 into e13; keep e15 as abstracted summary.
        *   **e14/e15**: e14 is Capture Payment M2, e15 is ERP summary. Fact 8 implies e15 is after all payments. -> Retain both. e14 is specific payment, e15 is aggregate.

    *   *Table format for Section 2*: I'll create a structured table with the required columns.

5.  **Drafting Section 3: Timestamp-tie ordering rules**:
    *   Need deterministic partial-order-to-total-order policy.
    *   Rules to define:
        *   Domain constraints (e.g., payment authorization must precede capture).
        *   Within-source sequence (source_seq).
        *   Lifecycle constraints on shared objects (e.g., Pick before Pack).
        *   Source-specific semantics (Carrier acceptance before handover).
        *   Ingestion time (not primary business order, but used for stable fallback).
        *   Stable fallback order (e.g., alphabetical source, or source_seq).
    *   *Why adding microseconds before semantic order is bad*: It encodes a false story because timestamps are often truncated or synchronized poorly across systems; imposing order on microseconds invents precision that doesn't exist semantically.
    *   *Intended orders*:
        *   e03–e07 at 10:00: e03 (Pick I1 WMS), e04 (Pick I1 Scanner), e05 (Pick I2 Scanner), e06 (Pack P1 WMS), e07 (Pack Summary ERP). Order: Probably e03/e04 (concurrent picks), then e05 (distinct item), then e06/e07 (pack events). Or e03/e04 first (since they are "same physical scan"), then e05, then e06/e07. Need to respect that e03/e04 are same event, e05 is different.
        *   e08–e10 at 10:15: e08 (Dispatch WMS), e09 (Dispatch/Carrier acceptance), e10 (Handover Carrier). Lifecycle: e08 (release) -> e09 (acceptance) -> e10 (handover). Or e09/e10 before e08? Fact 4 says e08 means released from warehouse. Fact 5 says e10 after acceptance. So likely e08 -> e09 -> e10.
        *   e11–e16 at 12:00 after duplicate decisions: e11 (Issue Invoice ERP), e16 (Issue Invoice Billing). They are same event. If we retain both, order might be by source or authority. If we merge, maybe one order. But Fact 6 says each authoritative for different attributes. If retained both, order could be e11 then e16 or vice versa, or concurrent. Need to decide based on decisions in S2.

6.  **Drafting Section 4: Conservative cleaning pipeline**:
    *   Minimum change.
    *   Remove only strongly supported duplicates (what are those? Maybe technical duplicates with identical everything? None here really, except maybe we need to check if any eids are truly exact duplicates. Looking at the table, no two events have *all* same fields. e03/e04 differ in source, source_seq, payload_hash. e11/e16 differ in source, source_seq, payload_hash. So "exact technical duplicate" might be none, or we define it by some hash/key).
    *   Preserve abstraction-level events.
    *   Refine harmonized labels where justified.
    *   Store original IDs, labels, timestamps, sources.
    *   Deterministic ordering without deleting legitimate concurrency.
    *   Expected retained event count: Start with 17 events (e01-e17). We aren't dropping many, maybe none, just qualifying/refining. But some might be merged if we decide "same physical event". If we retain all 17 but with modifications, count is 17. If we merge e03/e04 into one, count drops to 16. If we merge e11/e16, drops to 16. The prompt says "do not drop e05 or e14". It doesn't say don't merge others. But "conservative" likely means retain all, add qualifiers. I'll aim for retaining all 17, or maybe 16 if one merge is strongly supported. Let's see: e03/e04 are "known" same physical event. e11/e16 are "known" same invoice. If I merge those, count = 15. But "conservative" might resist merge unless necessary. I'll design it to retain all 17 with refined labels, or merge the two clear pairs and note the count. I'll specify the count based on decisions.

7.  **Drafting Section 5: Aggressive alternatives**:
    *   Evidence-based semantic merging: Merge e03/e04 into one event with combined attributes; merge e11/e16 into one invoice event. Merge e06/e07 into one pack event. Expected count: lower (e.g., 13-14). Semantic damage: Loss of source-specific detail (e.g., WMS location lost if merged naively), abstraction level flattened, false concurrency resolution.
    *   Mechanically aggressive PM4Py merging: Using `have_common_object=True` or similar flags to merge events with same activity/timestamp/objects. Discuss why this hurts e13/e14: they share O1 and V1 but are different payments M1/M2. Merging them would collapse partial payments, losing the distinction between M1 and M2, distorting payment lifecycle, possibly creating false loops or rework.
    *   Must discuss the specific point about e13/e14 sharing O1 and V1 but representing different Payment objects.

8.  **Drafting Section 6: PM4Py implementation**:
    *   Python block.
    *   Assumes `ocel_raw` exists.
    *   Deep copies for scenarios.
    *   Preserve `original_timestamp`, `original_activity`, `source`, `source_event_key`.
    *   Pre-check for candidate duplicate groups.
    *   Use `pm4py.ocel_drop_duplicates` in justified scenario (e.g., if we find exact technical duplicates).
    *   Use `pm4py.ocel_merge_duplicates` in aggressive scenario with warning.
    *   Use `pm4py.ocel_sort_by_additional_column`.
    *   Use `pm4py.ocel_add_index_based_timedelta` after order established.
    *   Custom verified-pair merge step for e03/e04 and e11/e16.
    *   Validate referential integrity.
    *   Avoid modifying `ocel_raw` in place.

    *   *Code structure*: I'll write a skeleton that loads, copies, applies specific drops/merges based on the conservative/aggressive logic described, and outputs results. I need to make sure the PM4Py functions are used correctly conceptually, even if I can't run them without the actual OCEL library. I'll write realistic code that imports and calls them with appropriate parameters.

9.  **Drafting Section 7: Sensitivity analysis**:
    *   Compare four datasets: raw, conservative, evidence-based merge, aggressive library merge.
    *   Discuss changes in event count, E2O relations, DFGs (Order-flattened, Item-flattened, Payment-flattened), OC-DFG edges, ET-OT weights, OTG relations, rework/loops, lifecycle/performance metrics.
    *   Name at least six concrete edges/patterns whose interpretation changes.
    *   Examples of changing edges:
        *   Pick->Pack edge frequency/changes if e03/e04 merged.
        *   Payment authorization->capture edge changes if e13/e14 merged.
        *   Invoice->Payment edge changes if e11/e16 merged.
        *   Dispatch->Handover edge directionality.
        *   Rework loops if abstraction levels collapsed.
        *   Duration calculations if timestamps reordered.

10. **Drafting Section 8: Audit trail and reversibility**:
    *   Provenance schema fields: canonical eid, source eids, merge rule, reviewer/rule version, original/ refined activity, original/adjusted timestamps, attributes retained, discarded conflicts, confidence, reason.
    *   How to reconstruct raw view: by tracing back through the schema, using source eids to lookup original records, reversing merge/drop operations.

11. **Drafting Section 9: Failure modes and safeguards**:
    *   At least eight failure modes.
    *   List: collapsing distinct partial payments, converting abstraction-level updates into false rework, ordering by ingestion time, treating shared objects as proof of duplication, unioning incompatible E2O relations, changing durations through synthetic microseconds, losing source-authoritative attributes, applying duplicate functions to whole OCEL without inspecting candidate groups.

12. **Review and Refine**:
    *   Check against constraints:
        *   Do not merge all events with equal activity and timestamp. -> I'll ensure the decision tree and pipeline only merge specific justified pairs.
        *   Do not drop e05 or e14. -> Critical constraint. I must keep e05 and e14.
        *   Do not use ingestion time as primary business order. -> Okay, I'll use lifecycle/source_seq.
        *   Do not erase original timestamp. -> Preserve in audit.
        *   Do not claim deterministic total order proves true physical order. -> Okay, state it's a fallback.
        *   Word count target: 1900-2900 excluding code. I'll aim for ~2000-2500 words of prose, plus code which doesn't count.
    *   Ensure all 9 sections are present and follow the exact formatting requirements.
    *   Verify that the "event-by-event decisions" table covers the required pairs and has the correct columns.
    *   Make sure the PM4Py code block is "executable-looking" but conceptual, using the library functions properly.

    *Self-Correction/Refinement during thought process*:
    *   *On e03/e04*: Fact 1 says they describe the same physical scan, payloads differ because WMS enriched with location. So they are not "technical duplicates" (hashes differ). They are "same physical event observed by multiple systems." Decision: Retain both, add location qualifier to WMS one, or keep separate but link via `related_objects` or a new "physical_scan_id". I'll decide in the decision tree: "retain both with refined labels/qualifiers."
    *   *On e06/e07*: Fact 3 says they may be two observations of one business transition or two different abstraction-level events. Conservative: retain both, label e07 as "ERP status update" and e06 as "WMS pack detail." Do not merge.
    *   *On e08/e09*: Fact 4: e08 = released from warehouse. Fact 5: e10 after acceptance. e09 harmonized to "Dispatch Package" but originally "accepted by carrier." This is a harmonization collision. Decision: Retain both, but refine the activity label for e09 to distinguish "Carrier acceptance" from "WMS dispatch," or add a `harmonization_source` tag. Since the OCEL has "common labels," I need to handle this carefully. I'll decide: retain both with original activities restored in provenance, or keep harmonized label but with `original_activity` field.
    *   *On e11/e16*: Same invoice V1. Retain both, maybe merge attributes (e.g., `invoice_attributes = {erp_attr, billing_attr}`) but keep distinct eids. Or designate one as "primary" based on business rule, but that's semantic damage. Better: retain both with attribute merge policy that tags source authority.
    *   *On e13/e14*: Must not merge. They are different payments M1 and M2. This is a key point for Section 5.
    *   *On e15*: Summary event. Retain as summary, not merged with detailed captures.

    *Let's structure the "Event-by-event decisions" table carefully*. I'll make rows for each pair, with decisions.

    *Timestamp ordering*: I need to be precise.
    *   e03-e07 at 10:00: Order: e03 (Pick I1 WMS) and e04 (Pick I1 Scanner) are concurrent same physical event -> I'll put them first or together. Then e05 (Pick I2 Scanner) distinct. Then e06 (Pack WMS) and e07 (Pack ERP summary). Since e06 is detailed pack and e07 is summary derived from it (Fact 3 says "may be two observations..."), I'll order e06 before e07 if we consider derivation, or keep them unordered/concurrent with a note. But for total order, I need a fallback. I'll use within-source sequence + lifecycle: WMS pick -> WMS pack -> ERP summary. So e03/e04 -> e05 -> e06 -> e07. Or e03/e04 concurrent, then e05, then e06, then e07.
    *   e08-e10 at 10:15: Lifecycle: e08 (WMS release) -> e09 (Carrier acceptance -> harmonized Dispatch) -> e10 (Handover). So e08 -> e09 -> e10.
    *   e11-e16 at 12:00: e11 (ERP Invoice) and e16 (Billing Invoice). If retained both, they are concurrent or ordered by source authority. I'll say: e11 then e16, or mark as concurrent with qualifier. But Fact 6 says each authoritative for different attributes; maybe order doesn't matter semantically, but for total order, I'll use source_seq or alphabetical source as deterministic fallback.

    *Conservative pipeline event count*: I'll decide to retain all 17 events, but with refined labels and qualifiers. Some might be merged if "strongly supported duplicates" exist, but looking at the data, there are no exact technical duplicates (all have different source_event_keys or payload_hashes). So conservative count = 17. Aggressive might merge pairs, count = 15 or 13.

    *Wait*, let's re-read the event table. e01 to e17. 17 events.
    e03 and e04 are a pair. e11 and e16 are a pair. If I merge those two pairs, count = 15. If I also merge e06/e07, count = 14. But conservative says "preserves abstraction-level events," so I'll resist merging e06/e07. I'll stick with retaining all 17 in conservative, maybe with some merged attributes but same count. Actually, "removes only strongly supported duplicates" - if there are no exact technical duplicates (identical hash, same source, etc.), then nothing is removed. I'll state that in conservative pipeline, no events are dropped; all 17 are retained with semantic refinements.

    *Let's refine the decision tree categories*:
    1. Exact technical duplicate: Identical `source_event_key`, `payload_hash`, `timestamp`, `activity`, `source`. -> Drop (one copy).
    2. Same physical event observed by multiple systems: Same real-world event, different system timestamps/activities/object views, but shared core objects. -> Retain both with refined labels/qualifiers.
    3. Summary event derived from detailed event: Detailed event exists, summary generated from it (e.g., e07 from e06, e15 from e12/e13/e14). -> Retain both, mark summary as derived, keep detailed as source.
    4. Harmonization collision between semantically distinct source activities: Activities labeled same after harmonization but originally meant different things (e09). -> Retain both, refine labels to distinguish original meaning, or add `source_activity` field.
    5. Concurrent same-label events involving different objects: Same activity and timestamp, but different objects (e05 vs e03/e04). -> Retain both unchanged.
    6. Unresolved candidate: Insufficient evidence to classify. -> Quarantine for review.

    *For the table in Section 2*, I'll map the specific pairs to these categories.

    *PM4Py code*: I need to make sure I use the functions correctly based on the documentation I recall (or logical usage).
    - `pm4py.ocel_drop_duplicates(ocel, subset=[...])` drops duplicates based on columns.
    - `pm4py.ocel_merge_duplicates(ocel, ...)` merges.
    - `pm4py.ocel_sort_by_additional_column(ocel, column)` sorts.
    - `pm4py.ocel_add_index_based_timedelta(ocel, ...)` adds time deltas.
    I'll write a block that defines a conservative scenario function and an aggressive scenario function.

    *Sensitivity analysis*: I need to discuss changes in DFGs, etc.
    - Raw: All 17 events, full granularity.
    - Conservative: 17 events, refined labels, no merges. DFGs show concurrent paths, payment sequences respect M1/M2 distinction.
    - Evidence-based merge: Merge e03/e04, e11/e16. DFGs lose some concurrency, payment edges simplify (M1/M2 might merge if not careful, but I'll specify they don't merge e13/e14). Event count 15.
    - Aggressive library merge: Merge based on `have_common_object=True`. This would likely merge e13 and e14 because they share O1 and V1, causing semantic damage (collapsing M1 and M2). Event count maybe 13. DFGs show false loops or simplified paths.

    *Failure modes*: I'll list 8 distinct ones as required.

    *Audit trail*: I'll define a schema dict or SQL/table structure.

    Now, I'll start writing the actual response, section by section, ensuring all constraints are met and the tone is professional. I'll watch the word count (excluding code). I'll make sure the code block is at the end of Section 6 and follows the rules. I'll ensure Section 2 table has all required columns and covers the pairs. I'll make the timestamp ordering rules clear about semantic vs deterministic.

    One critical check: "Do not merge all events with equal activity and timestamp." -> I must explicitly not do this. My decision tree and pipeline will only merge specific justified pairs.
    "Do not drop e05 or e14." -> I'll ensure e05 and e14 are never dropped. In all scenarios, they remain.
    "Do not use ingestion time as the primary business order." -> I'll use lifecycle/source_seq.
    "Do not erase the original timestamp." -> I'll preserve `timestamp` field, maybe add `adjusted_timestamp` if needed, but original must stay.
    "Do not claim that a deterministic total order proves the true physical order." -> I'll state that ordering is a deterministic convention, not truth.

    Let's draft Section 1 (Decision Tree) mentally first to ensure clarity.
    Section 2 table: I'll create it with markdown. Columns: Event(s), Candidate relationship, Decision, Confidence, Preserved canonical eid, Attribute merge policy, Relation merge policy, Provenance retained, Main risk.
    Row e03/e04: Candidate: same physical event observed by multiple systems. Decision: retain both with refined labels. Confidence: high. Preserved canonical eid: e03, e04 (both kept). Attribute merge: add `wms_location` from e03 to merged provenance, but keep separate. Relation merge: both relate to O1, I1, P1. Provenance retained: both sources. Main risk: losing location detail if merged incorrectly.
    Row e03/e05: Candidate: concurrent same-label events involving different objects. Decision: retain both unchanged. Confidence: high. Preserved: e03, e05.
    Row e06/e07: Candidate: summary event derived from detailed event. Decision: retain both, mark e07 as derived/summary. Confidence: medium-high. Preserved: e06, e07.
    Row e08/e09: Candidate: harmonization collision. Decision: retain both, refine labels to distinguish warehouse release vs carrier acceptance. Confidence: high. Preserved: e08, e09.
    Row e09/e10: Candidate: lifecycle sequential events (acceptance then handover). Decision: retain both, order e09 before e10 based on lifecycle. Confidence: high.
    Row e11/e16: Candidate: same physical invoice issuance, different system authority. Decision: retain both with attribute merge policy distinguishing ERP vs Billing authority. Confidence: high. Preserved: e11, e16.
    Row e13/e14: Candidate: distinct partial payments same timestamp. Decision: retain both unchanged. Confidence: high. Preserved: e13, e14. Main risk: collapsing them would lose partial payment distinction.
    Row e13/e15: Candidate: detailed capture vs ERP summary. Decision: retain both, e15 marked as summary/derived. Confidence: high.
    Row e14/e15: Candidate: specific payment vs summary. Decision: retain both.

    This looks solid.

    For Section 3 ordering rules, I'll define:
    - Rule A: Lifecycle constraints (e.g., authorization before capture).
    - Rule B: Within-source sequence (source_seq).
    - Rule C: Shared object lifecycle (Pick before Pack before Handover).
    - Rule D: Source-specific semantics (Carrier acceptance before Handover).
    - Rule E: Ingestion time as stable fallback only.
    - Rule F: Deterministic fallback (e.g., source alphabetical, then source_seq).
    I'll explain why microseconds are bad: timestamp precision varies across systems; imposing microsecond order invents a physical sequence that was not measured or intended, potentially reordering events that are truly concurrent or semantically independent.

    Section 4 Conservative pipeline: I'll describe keeping all 17 events, adding `original_activity` and `refined_activity` where harmonization occurred, preserving all sources, using the decision tree to qualify events. Expected count: 17 events, E2O relations preserved as per original but possibly with refined roles (e.g., e03/e04 both have I1, but e05 has I2).

    Section 5 Aggressive alternatives:
    - Evidence-based semantic merging: Merge e03/e04 into one "Pick Item" event with combined location data; merge e11/e16 into one "Issue Invoice" event with merged attributes. Count: 15 events. Semantic damage: WMS location might overwrite scanner data; invoice attributes might lose source-specific authority flags.
    - Mechanically aggressive PM4Py merging: Use `pm4py.ocel_merge_duplicates` with `have_common_object=True` across events with same activity/timestamp. This would merge e13 and e14 (sharing O1, V1) into one event, collapsing M1 and M2. Count: 13 events (if merging multiple pairs). Most likely damage: collapsing distinct partial payments, converting e13/e14 into a single payment event, distorting the payment lifecycle and creating false rework/loops in DFG. I'll explicitly address the e13/e14 point requested.

    Section 6 PM4Py implementation: I'll write a Python block. I'll assume `ocel_raw` is an OCEL object from pm4py. I'll use `copy.deepcopy`. I'll show pre-check (grouping candidates). I'll call `pm4py.ocel_drop_duplicates` only if exact duplicates found (maybe none, but I'll demonstrate a scenario where we drop if `source_event_key` identical). I'll call `pm4py.ocel_merge_duplicates` in aggressive scenario with a big warning comment. I'll use `pm4py.ocel_sort_by_additional_column` to sort by `timestamp` then `source_seq`. I'll use `pm4py.ocel_add_index_based_timedelta` after order is set. I'll define a custom `verified_pair_merge` function that takes a pair of eids and a merge rule, and returns a new event or a qualified pair. I'll validate referential integrity by checking that all `related_objects` references still exist in the objects table.

    Section 7 Sensitivity analysis: I'll make a table or list comparing the four datasets across the metrics. I'll name six concrete edges/patterns:
    1. Pick->Pack edge: in raw, frequency reflects both e03 and e04; in conservative, same; in evidence merge, frequency 1 (merged); in aggressive, might be 1 or altered.
    2. Pack->Dispatch edge: changes if e06/e07 merged or e08 label changed.
    3. Invoice->Payment edge: in raw, e11/e16 fan out; in merges, consolidated.
    4. Authorization->Capture edge (e12->e13 vs e12->e14): in conservative, both exist; in aggressive merge, might merge e13 and e14, losing the branch.
    5. Dispatch->Handover edge: order dependency.
    6. Payment-flattened DFG loop: if e13/e14 merged, might create a self-loop or remove a branch.
    7. ET-OT weights: event-task vs object-task weights change with merges.
    8. OTG (Object-Type Graph) relations: e.g., O1-P1 edge might change frequency.

    Section 8 Audit trail: I'll define a provenance dictionary schema. Fields as listed. Explanation of reconstruction: analyst queries `canonical_eid` -> `source_eids` -> looks up raw records in original systems.

    Section 9 Failure modes: List 8 as specified. I'll ensure they are distinct and relevant.

    Potential pitfalls:
    - Making sure I don't accidentally drop e05 or e14. I'll explicitly mention them in each section's constraints.
    - The word count. I'll aim for ~2200 words of prose. The code block is separate. The tables might add words but "excluding code" usually means the prose body. I'll be concise in tables but thorough.
    - The decision tree must have terminals with actions. I'll structure it as a flowchart-like text description or a branching rule set.
    - "Provide one table with these columns: Event(s) | Candidate relationship | Decision | Confidence | Preserved canonical eid | Attribute merge policy | Relation merge policy | Provenance retained | Main risk" for Section 2. I'll make sure the table exactly has these columns and the rows cover the pairs.

    Let's start generating the response. I'll structure it with the 9 sections headers exactly as requested. I'll use markdown for tables and code blocks. I'll ensure the Python block is at the end of Section 6.

    One detail: "Use exactly the following top-level sections." So I must use headings 1 through 9 exactly as listed. I'll do:
    ## 1. Duplicate-handling decision tree
    ## 2. Event-by-event decisions
    etc.

    In Section 2, the table should be after the heading. I'll format it with `|` delimiters.

    In Section 6, "Provide one executable-looking Python block that assumes `ocel_raw` exists and that its `events` table contains the metadata columns shown above." I'll write code that starts with `import pm4py, copy` etc. I'll make it look like a script that processes `ocel_raw`.

    Let's refine the "Conservative cleaning pipeline" expected count. If I retain all 17, that's 17. But maybe some events are "exact technical duplicates" that I missed? Looking at the table:
    e01: ER-100, seq 10
    e02: ER-101, seq 20
    e03: W-77, seq 100
    e04: S-901, seq 551
    e05: S-902, seq 552
    e06: W-78, seq 110
    e07: ER-150, seq 30
    e08: W-79, seq 120
    e09: C-400, seq 1
    e10: C-401, seq 2
    e11: ER-200, seq 40
    e12: P-700, seq 400
    e13: P-701, seq 401
    e14: P-702, seq 402
    e15: ER-201, seq 41
    e16: B-9, seq 77
    e17: C-500, seq 30
    No two events have the same `source_event_key`. `payload_hash` are all distinct (h-create, h-valid, h-pick-i1, h-pick-i1-alt, h-pick-i2, h-pack-detail, h-pack-summary, h-dispatch-wms, h-carrier-accept, h-handover, h-invoice-erp, h-auth-m1, h-capture-m1, h-capture-m2, h-payment-summary, h-invoice-billing, h-confirm). So no exact technical duplicates by hash. By `source_event_key`, all unique. So conservative pipeline drops 0 events. Count = 17.

    Aggressive: might merge e03/e04 and e11/e16 -> 15. If also merges e06/e07 -> 14. But I'll define the aggressive alternatives with specific merge policies, and count will be stated per scenario.

    For the "evidence-based semantic merging" in Section 5: I'll say merge e03/e04 and e11/e16, count = 15. For "mechanically aggressive PM4Py merging": merge using library flags, which might additionally merge e06/e07 and e13/e14 (the last one is the trap), count = 12 or 13, with damage description.

    I need to be careful with e13/e14 in aggressive: the prompt specifically says "Discuss why `have_common_object=True` is not sufficient to protect e13 and e14, because they share O1 and V1 while representing different Payment objects." So in the aggressive scenario, I'll explicitly state that a naive merge would collapse them, and why that's bad.

    Okay, ready to write. I'll draft each section carefully.
</think>
## 1. Duplicate-handling decision tree

A rule-based tree that classifies every candidate pair before any action is applied. The tree flows from structural identity to semantic context.

1. **Exact technical duplicate**  
   *Condition*: Identical `source_event_key`, `payload_hash`, `timestamp`, `activity`, and `source`.  
   *Terminal action*: **Drop** one copy. Retain the record with the lowest `source_seq` or highest confidence flag, but delete the redundant row. No semantic loss.

2. **Same physical event observed by multiple systems**  
   *Condition*: Shared core objects (e.g., O1) and timestamp, but `payload_hash` differs because systems enriched or abstracted the same reality differently (e.g., WMS added location, ERP did not).  
   *Terminal action*: **Retain both with refined labels/qualifiers**. Add a `system_view` tag (e.g., `WMS_location`, `ERP_summary`) and preserve both `original_activity` and any system-specific attributes. Do not merge payloads.

3. **Summary event derived from a detailed event**  
   *Condition*: One event is temporally after another, shares most attributes, and Fact 3/8 indicates the later event is a system-generated aggregate or status update from the earlier one (e.g., e07 from e06, e15 from e12/e13/e14).  
   *Terminal action*: **Retain both, mark the later as `derived_from`**. Keep the detailed event as the source of truth; the summary retains its own eid but carries a `derivation_rule` provenance link. Do not delete the detailed event.

4. **Harmonization collision between semantically distinct source activities**  
   *Condition*: After activity harmonization, two events share the same label (e.g., `Dispatch Package`) but originated from activities with different business meanings (e.g., “released from warehouse” vs. “accepted by carrier”).  
   *Terminal action*: **Retain both, refine labels to distinguish original meaning**. Restore or tag `original_activity` (the pre-harmonization label) and keep the harmonized label as `canonical_activity`. Add a `harmonization_source` field indicating which system drove the merge.

5. **Concurrent same-label events involving different objects**  
   *Condition*: Same activity and timestamp, but the `related objects` set differs (e.g., Pick Item for I1 vs. I2).  
   *Terminal action*: **Retain both unchanged**. The shared label is superficial; the object distinction proves they are separate business instances. No merge or drop.

6. **Unresolved candidate**  
   *Condition*: Evidence is insufficient to classify into 1–5 (e.g., timestamp ties, shared objects, but no clear lifecycle or payload difference).  
   *Terminal action*: **Quarantine for review**. Flag in an audit table; no automatic drop or merge. An analyst resolves manually.

---

## 2. Event-by-event decisions

| Event(s) | Candidate relationship | Decision | Confidence | Preserved canonical eid | Attribute merge policy | Relation merge policy | Provenance retained | Main risk |
|---|---|---|---|---|---|---|---|---|
