<think>
Thinking Process:

1.  **Deconstruct and Analyze the Input:**
        *   Delay = 10:05 - 09:50 = 15m.
        *   So avoidable delay = 1h 50m - 15m = 1h 35m? Or just total wait = 1h 50m.
        *   I'll calculate "Delay plausibly associated with FIX-A".
        *   J4 arrival 09:50. FIX-A release 11:40. Gap = 110 min.
        *   CNC-2 available 10:05.
        *   If FIX-A free, J4 starts 10:05.
        *   Actual start 11:45.
        *   Total delay = 115 min.
        *   Delay due to FIX-A = 115 - (10:05 - 09:50) = 115 - 15 = 100 min.
        *   Result: ~100 min associated with FIX-A.
        *   J1 by S1 consolidation:
        *   J1 packed 13:30. S1 dispatch 19:25.
        *   J1 waits 19:25 - 13:30 = 5h 55m.
        *   Counterfactual: If S1 dispatched immediately? Or if J1 shipped alone?
        *   S1 consolidates J1, J4.
        *   J4 packed 19:10.
        *   S1 dispatch 19:25.
        *   S2 dispatch 25 min after last job. S3 dispatch 35 min after last job.
        *   This suggests a policy: Dispatch ~30 min after last job packed.
        *   Counterfactual: If J1 could ship alone or S1 policy different?
        *   Delay imposed = 5h 55m.
        *   Counterfactual: Dispatch at 13:30 + policy lag?
        *   If policy is "Wait 30 min after last job", and J1 is first, J1 waits for J4.
        *   J4 packed 19:10.
        *   So J1 waits for J4.
        *   Delay = J4 packed - J1 packed = 19:10 - 13:30 = 5h 40m.
        *   Plus policy lag? S1 dispatch 19:25. J4 packed 19:10. Lag 15m.
        *   So J1 waits 5h 40m for J4 + 15m policy = 5h 55m.
        *   If J1 shipped immediately, wait = 0? Or 15m policy?
        *   Delay imposed = 5h 55m.
        *   CAL-3 for J6:
        *   J6 ready 16:05.
        *   J5 test 16:10-16:35.
        *   CAL-3 recal 16:35-17:20.
        *   J6 test 17:25-17:50.
        *   J6 ready 16:05. Starts 17:25.
        *   Wait = 1h 20m.
        *   Causes: J5 test ends 16:35. CAL-3 recal 16:35-17:20. J6 starts 17:25.
        *   J6 blocked by J5? J5 ends 16:35. J6 ready 16:05.
        *   If J5 didn't exist, J6 starts 16:05?
        *   TEST-1 idle 16:35-17:25.
        *   TEST-1 is available 16:05.
        *   CAL-3 required for Final Test.
        *   Is CAL-3 available 16:05?
        *   J5 uses CAL-3 16:10-16:35.
        *   So CAL-3 busy 16:10-16:35.
        *   J6 needs CAL-3.
        *   J6 ready 16:05.
        *   If J6 ahead of J5? J6 ready 16:05. J5 starts 16:10.
        *   Maybe J5 has priority? Or J5 arrived first?
        *   J5 ready 16:00. J6 ready 16:05.
        *   So J5 queues first.
        *   J5 uses CAL-3 16:10-16:35.
        *   CAL-3 recal 16:35-17:20.
        *   J6 starts 17:25.
        *   J6 blocked by J5 (16:10-16:35) and CAL-3 recal (16:35-17:20).
        *   Total block = 16:10 to 17:25?
        *   J6 ready 16:05.
        *   Wait = 17:25 - 16:05 = 1h 20m.
        *   Delay due to CAL-3?
        *   CAL-3 busy 16:10-17:20.
        *   J6 needs CAL-3.
        *   If CAL-3 not recal?
        *   J5 ends 16:35. CAL-3 free 16:35.
        *   J6 starts 16:35?
        *   Wait = 16:35 - 16:05 = 30m.
        *   Delay due to recal = 1h 20m - 30m = 50m.
        *   Also J6 blocked by J5 for 30m?
        *   J5 starts 16:10. J6 ready 16:05.
        *   J6 waits 5m for J5?
        *   If J5 not there, J6 starts 16:05?
        *   CAL-3 free 16:05?
        *   No info on CAL-3 before 16:05.
        *   Assume CAL-3 free.
        *   J6 starts 16:05.
        *   So delay due to J5 = 30m?
        *   Delay due to CAL-3 recal = 50m?
        *   Total delay 1h 20m.
        *   Calculation: Delay = 80 min. CAL-3 contribution = 50 min (recal). J5 contribution = 30 min (queue).
        *   Or CAL-3 contribution = 80 min if we consider CAL-3 as the shared resource limiting J6.
        *   I'll attribute 50 min to CAL-3 recal specifically.

4.  **Drafting Section 3: Ranked bottleneck hypotheses:**
    *   *Table:* Rank, Mechanism, Objects, Evidence, Against, Observability, Confidence, Recurrence.
    *   *Mechanisms:*
        *   Batch Synchronization (B1/B2). High impact. J1/J2 huge waits. RACK-7 constraint.
        *   Shipment Consolidation. J1 huge wait. S1 policy.
        *   Shared Tool/Tool Contention. FIX-A J4. CAL-3 J6.
        *   Component Lot Release. J5 blocked. L7 quarantine.
        *   Machine Capacity. Low utilization. Unlikely primary bottleneck.
        *   Data Integration. Lot events missing from Job flattening.
    *   *Ranking:*
        *   1. Batch Synchronization + Tool Coupling (RACK-7). B1 causes 4h wait. RACK-7 cleaning causes B2 delay.
        *   2. Shipment Consolidation Policy. J1 waits 6h.
        *   3. Component Lot Release Coupling. J5 blocked by L7.
        *   4. Shared Tool Contention (FIX-A, CAL-3). J4, J6 delays.
        *   5. Machine Capacity. Low utilization, but gaps exist.
        *   6. Data Artifacts. Hides lot coupling.

5.  **Drafting Section 4: What flattening misses:**
    *   *Job Flattening:* Hides lot coupling, batch sync, shipment waits. Shows "normal" durations. Misleading: No bottleneck visible.
    *   *Machine Flattening:* Hides tool waits, batch waits, lot waits. Shows utilization. Misleading: Utilization low, but jobs wait.
    *   *Batch Flattening:* Hides job-level sync variance.
    *   *Tool Flattening:* Hides job/tool binding dynamics.
    *   *ComponentLot Flattening:* Hides job impact of quarantine.
    *   *Shipment Flattening:* Hides job-level wait for partners. Shows "Load -> Dispatch" fast. Misleading: Job waits hidden.
    *   *Low util vs Long wait:* Resources idle due to unavailability of inputs (lots, tools, batch partners), not machine speed.

6.  **Drafting Section 5: Object-lifecycle evidence:**
    *   *Narrative 1: J1, B1, OVEN-1, RACK-7, S1.*
        *   J1 ready 08:10. B1 sync 12:05. RACK-7 available? B1 uses RACK-7. J1 packed 13:30. S1 dispatch 19:25.
        *   Types: Job, Batch, Machine, Tool, Shipment.
        *   Temporal: 08:10 -> 12:05 -> 13:30 -> 19:25.
        *   Resource: RACK-7, OVEN-1, S1.
        *   Policy: Batch window, Shipment consolidation.
    *   *Narrative 2: J4, FIX-A, CNC-2, J3.*
        *   J3 holds FIX-A 09:00-11:40. J4 arrives 09:50. J4 starts 11:45.
        *   Types: Job, Tool, Machine.
        *   Contention.
    *   *Narrative 3: J5, L7, J2, B1, CAL-3.*
        *   L7 quarantine 10:20-13:50. J2 override B1. J5 waits. J5 test 16:10. CAL-3 recal 16:35-17:20.
        *   Types: Component, ComponentLot, Job, Machine, Tool.
        *   Lot coupling, Tool contention.

7.  **Drafting Section 6: Intervention portfolio:**
    *   *Interventions:*
        *   Reduce Sync: Dynamic batching or smaller batches. Benefit: J1/J2. Risk: OVEN-1 util drops.
        *   Address Tools: FIX-A duplication or scheduling. CAL-3 recal policy. Benefit: J4, J6. Risk: Cost.
        *   Shipment Policy: Allow early dispatch or partial shipments. Benefit: J1. Risk: Logistics cost.
        *   Improve Logging: Link Lot events to Jobs. Benefit: Visibility. Risk: Data volume.
        *   Lot Release: Faster release or pre-approval. Benefit: J5. Risk: Quality?
    *   *Spillovers:*
        *   Batching reduction -> OVEN-1 util up, but maybe setup costs.
        *   Shipment early -> Logistics cost up.
        *   Tool dup -> Capex up.

8.  **Drafting Section 7: PM4Py analysis outline:**
    *   *Code:*
        *   Import pm4py.
        *   `ocel` assumed.
        *   `pm4py.ocel_objects_interactions_summary(ocel)`.
        *   `pm4py.discover_objects_graph(ocel)`.
        *   `pm4py.discover_otg(ocel)`.
        *   `pm4py.discover_etot(ocel)`.
        *   `pm4py.discover_ocdfg(ocel)`.
        *   `pm4py.ocel_flattening(ocel, ...)`.
        *   `pm4py.discover_performance_dfg`.
        *   `pm4py.extract_ocel_features`.
        *   Compare metrics: e.g., `object_type` frequency vs `activity` frequency.
        *   Avoid waiting inference from gaps.

9.  **Drafting Section 8: Falsification and additional data:**
    *   *Weaken hypotheses:*
        *   Batch sync: If J1/J2 waits correlate with RACK-7 cleaning? Or if J1/J2 have different readiness?
        *   Shipment: If S1 dispatch was urgent?
        *   Lot: If L7 release was delayed by external factor?
        *   Tools: If FIX-A available but J4 not ready?
        *   Machine: If OVEN-1 actually busy?
        *   Data: If logs show direct links?
    *   *Additional fields:*
        *   Lot release timestamps linked to jobs.
        *   Tool acquire/release timestamps.
        *   Shipment policy rules.
        *   Batch window constraints.
        *   RACK-7 cleaning schedule.
        *   J3 FIX-A release reason.

10. **Review and Refine:**
    *   *Word Count Check:* Ensure 1800-2800 words.
    *   *Structure Check:* All sections present? Yes.
    *   *Constraints Check:*
        *   No equating succession with causality? Yes, used "plausibly associated", "counterfactual".
        *   No rank machine capacity first? Yes, ranked batch/shipment/tool first.
        *   Lot events inconsistent? Yes, highlighted in data integration and lot release.
        *   Concrete IDs? Yes, J1, B1, RACK-7, etc.
        *   Multiple rankings? Yes, table.
        *   Calculations? Yes, five explicit.
        *   Interventions? Five, covering sync, tools, shipment, logging.
        *   Code? Python block with PM4Py functions.
        *   Falsification? Six weaken, six fields.
    *   *Refinement on Calculations:*
        *   J1/J2 B1: J1 3h 55m, J2 3h 40m. Counterfactual: Start at readiness.
        *   J4 FIX-A: 100 min. Counterfactual: FIX-A free at 09:50, start 10:05.
        *   J1 S1: 5h 55m. Counterfactual: Dispatch at 13:30? Or 13:45? I'll use 13:30 for "immediate" or policy lag. If policy is 30 min, counterfactual 13:30+30=14:00. Delay 5h 25m? Or just wait for J4. I'll state counterfactual clearly.
        *   J6 CAL-3: 50 min recal. Counterfactual: No recal, J6 starts 16:35.
        *   J5 Lot: J5 ready? J5 ready 14:40? No, J5 ready 14:40 for B2? J5 ready for test 16:00?
        *   Lot release 13:50. J5 ready 14:40?
        *   J5 ready 14:40. Release 13:50.
        *   So J5 not delayed by lot release for B2?
        *   J5 in B2. B2 starts 14:50.
        *   J5 ready 14:40.
        *   Lot release 13:50.
        *   So J5 not blocked by lot release for B2?
        *   Wait, J5 in B2. B2 starts 14:50.
        *   J5 ready 14:40.
        *   Lot release 13:50.
        *   So J5 is free at 14:40.
        *   J5 not delayed by lot?
        *   But J5 waits for CAL-3.
        *   So Lot delay for J5 is 0?
        *   Or J5 delayed by lot for something else?
        *   J5 in B2. B2 starts 14:50.
        *   J5 ready 14:40.
        *   Lot release 13:50.
        *   So J5 ready after release.
        *   So Lot release didn't delay J5?
        *   Text says "J5 did not proceed until after release."
        *   But J5 ready 14:40. Release 13:50.
        *   Contradiction?
        *   "J5 did not proceed until after release."
        *   Maybe J5 ready 14:40 is for B2?
        *   Or J5 ready for something else?
        *   "J5 is ready at 14:40" in B2 context.
        *   Maybe J5 ready for test?
        *   J5 tests 16:10.
        *   Maybe J5 ready for test 16:00.
        *   Lot release 13:50.
        *   So J5 ready for test 16:00 > 13:50.
        *   So J5 not delayed by lot for test?
        *   Maybe J5 delayed by lot for B2?
        *   J5 ready 14:40.
        *   If J5 ready 13:00?
        *   Then lot release 13:50 delays J5 by 40m?
        *   But text says J5 ready 14:40.
        *   So J5 ready after release.
        *   So Lot release doesn't delay J5?
        *   "J5 did not proceed until after release."
        *   This implies J5 was ready before 13:50?
        *   But J5 ready 14:40.
        *   Maybe 14:40 is a typo in my reading?
        *   "J4 is ready at 13:10, J5 is ready at 14:40".
        *   Maybe J5 ready 14:40 is for B2.
        *   And J5 had other readiness?
        *   Or "J5 did not proceed" refers to B2?
        *   If J5 ready 14:40, and release 13:50, J5 proceeds after release.
        *   So no delay?
        *   Unless J5 ready 14:40 is wrong?
        *   Or J5 ready 13:00?
        *   I'll assume J5 ready 14:40 is correct.
        *   Then "J5 did not proceed" might mean J5 didn't start B2 until 14:40?
        *   But release 13:50.
        *   So J5 proceeds after release.
        *   So Lot release didn't delay J5?
        *   Maybe J5 delayed by RACK-7 cleaning?
        *   RACK-7 cleaning until 14:35.
        *   J5 ready 14:40.
        *   So J5 not delayed by RACK-7?
        *   B2 starts 14:50.
        *   J5 ready 14:40.
        *   So J5 waits 10m for B2 start?
        *   So J5 delays are small?
        *   J5 delays: CAL-3 1h 20m.
        *   So Lot release is not a major delay for J5?
        *   But L7 affects J2 and J5.
        *   J2 in B1. Override.
        *   So J2 not delayed?
        *   So Lot release affects J5 availability?
        *   If J5 ready 14:40, and release 13:50, J5 available.
        *   So Lot release is not a bottleneck for J5?
        *   Maybe J5 ready 14:40 is dependent on release?
        *   "J5 did not proceed until after release."
        *   This suggests J5 was blocked.
        *   Maybe J5 ready 14:40 is the result of release?
        *   If J5 ready 13:00, release 13:50, delay 50m.
        *   But text says J5 ready 14:40.
        *   I'll note this ambiguity.
        *   Or J5 ready 14:40 is for B2, but J5 needed for something else?
        *   I'll calculate Lot delay as 0 for J5 based on 14:40 > 13:50.
        *   Or assume J5 ready 14:40 includes release wait?
        *   I'll state counterfactual: If release instantaneous, J5 ready 13:50?
        *   Then J5 ready 13:50 vs 14:40?
        *   No, 14:40 is observed.
        *   If release 13:50, J5 ready 14:40.
        *   Maybe J5 ready 14:40 is independent.
        *   I'll skip Lot delay calc for J5 as it seems 0 or unclear.
        *   Focus on J1, J2, J4, J6.
        *   Five calculations: J1 B1, J2 B1, J4 FIX-A, J1 S1, J6 CAL-3.
        *   That's five.
        *   Good.

This thought structure covers all requirements, performs calculations, ranks mechanisms, designs interventions, outlines code, and plans falsification.

</think>
## 1. Interaction-graph description

The system is best modeled as a typed hypergraph where objects of different types interact via temporal, resource, and policy constraints. A flattening collapses these interactions into a single process view, obscuring the multi-object coupling.

**Node Types:**
- **Job (J1–J6):** Primary work items with readiness timestamps.
- **Component (C1–C6):** Physical parts consumed by jobs.
- **ComponentLot (L7, L8):** Batches of components subject to quality events (Quarantine/Release).
- **Batch (B1, B2):** Aggregations of jobs requiring simultaneous machine/tool usage.
- **Machine (CNC-2, OVEN-1, TEST-1):** Processing resources with utilization gaps.
- **Tool (FIX-A, RACK-7, CAL-3):** Shared fixtures/calibrators required for operations.
- **Shipment (S1–S3):** Aggregations of jobs for dispatch.

**Edge Types and Qualifiers:**
- `requires`: Job  Component (static dependency).
- `contains`: ComponentLot  Component, Batch  Job (composition).
- `consolidates`: Shipment  Job (logistics grouping).
- `uses`: Job  Machine/Tool (dynamic resource acquisition, inferred from acquire/release events).
- `affects`: ComponentLot  Job (quality events blocking progress, inferred from timing).
- `synchronizes`: Batch  Job (temporal barrier at batch start).
- `delays`: Job  Shipment (waiting for partners, inferred from packed/dispatch gaps).

**Higher-Order Motifs:**
1. **Lot-Coupling Motif:** `Job J2`  `Component C2`  `ComponentLot L7`  `Quarantine/Release`  `Job J5`. A quality event on L7 blocks J2 and J5 simultaneously. J2 bypasses via override; J5 waits. This creates a divergent outcome for jobs sharing a lot.
2. **Batch-Sync-Tool Motif:** `Jobs J1, J2, J3`  `Batch B1`  `Machine OVEN-1` + `Tool RACK-7`. B1 requires synchronization of three jobs and a shared tool. RACK-7 cleaning in B2 propagates delay to J4/J5.
3. **Shipment-Consolidation Motif:** `Job J1`  `Shipment S1`  `Job J4`. J1 completes early but waits for J4. S1 policy imposes a post-completion lag. This couples the completion time of J1 to J4's readiness, independent of machine constraints.

**Adjacency-List Representation (Key Edges):**
```text
J1 -> C1 -> L8 -> B1 -> OVEN-1, RACK-7 -> S1
J2 -> C2 -> L7 -> B1 -> OVEN-1, RACK-7 -> S2
J3 -> C3 -> L8 -> B1 -> OVEN-1, RACK-7 -> S2
J4 -> C4 -> B2 -> OVEN-1, RACK-7 -> S1
J5 -> C5 -> L7 -> B2 -> OVEN-1, RACK-7 -> S3
J6 -> C6 -> S3

L7 -> Quarantine(10:20) -> Release(13:50) [Affects J2, J5]
FIX-A -> Held by J3(09:00-11:40) -> Acquired by J4(11:40)
CAL-3 -> Recal(16:35-17:20) -> Blocks J6(Test)
S1 -> Dispatch(19:25) [J1 Packed 13:30, J4 Packed 19:10]
```

**Direct vs. Inferred:**
- **Direct:** `requires`, `contains`, `consolidates`, event timestamps (Ready, Process Start, Packed, Dispatch), acquire/release of tools/machines.
- **Inferred:** `delays` (waiting times calculated from gaps), `affects` (lot blocking inferred from readiness vs. release), `synchronizes` (batch wait inferred from readiness spread).

## 2. Quantitative delay decomposition

All calculations use counterfactual assumptions to isolate mechanism impact. Results are estimates of attributable delay, not causal proofs.

1. **J1 Synchronization Waiting in B1:**
   - *Observed:* J1 ready 08:10, Batch starts 12:05.
   - *Calculation:* $12:05 - 08:10 = 3\text{h } 55\text{m}$.
   - *Counterfactual:* If J1 could trigger OVEN-1 immediately upon readiness (single-job batch), delay = 0.
   - *Attributable Delay:* **3h 55m**.

2. **J2 Synchronization Waiting in B1:**
   - *Observed:* J2 ready 08:25, Batch starts 12:05.
   - *Calculation:* $12:05 - 08:25 = 3\text{h } 40\text{m}$.
   - *Counterfactual:* Immediate single-job processing.
   - *Attributable Delay:* **3h 40m**.

3. **Delay Associated with FIX-A for J4:**
   - *Observed:* J4 arrives CNC-2 at 09:50. J3 releases FIX-A at 11:40. J4 process starts 11:45. CNC-2 idle 10:05–10:47.
   - *Calculation:* J4 blocked 09:50 to 11:40 by FIX-A unavailability (1h 50m). CNC-2 available 10:05. If FIX-A free at 09:50, J4 could start 10:05.
   - *Counterfactual:* FIX-A available at 09:50. J4 starts 10:05. Actual start 11:45.
   - *Attributable Delay:* $11:45 - 10:05 = 1\text{h } 40\text{m}$. (Note: 100 min of total 115 min wait is FIX-A related).

4. **Delay Imposed on J1 by S1 Consolidation:**
   - *Observed:* J1 packed 13:30. S1 dispatch 19:25. S2/S3 dispatch ~30m after last job.
   - *Calculation:* $19:25 - 13:30 = 5\text{h } 55\text{m}$.
   - *Counterfactual:* If S1 dispatched immediately upon J1 packed (or with standard 15m lag for first job), dispatch ~13:30–13:45.
   - *Attributable Delay:* **~5h 40m** waiting for J4 (J4 packed 19:10).

5. **Delay Associated with CAL-3 Recalibration for J6:**
   - *Observed:* J6 ready 16:05. J5 tests 16:10–16:35. CAL-3 recal 16:35–17:20. J6 tests 17:25.
   - *Calculation:* J6 wait = $17:25 - 16:05 = 1\text{h } 20\text{m}$.
   - *Counterfactual:* If CAL-3 recalibration did not occur (or J6 had priority), J6 could start 16:35 (immediately after J5).
   - *Attributable Delay:* $17:25 - 16:35 = 50\text{m}$ due to CAL-3 recal. (Remaining 30m due to J5 queue).

## 3. Ranked bottleneck hypotheses

| Rank | Mechanism | Affected Objects | Supporting Evidence | Evidence Against/Alternative | Observability in Flattening | Confidence | Expected Recurrence |
|:---:|:---|:---|:---|:---|:---|:---:|:---|
| 1 | **Batch Synchronization + Tool Coupling** | J1, J2, J3, B1, OVEN-1, RACK-7 | J1/J2 waits ~4h. RACK-7 cleaning delays B2. B1 requires sync of 3 jobs. | OVEN-1 utilization 44%; gaps exist. If batches smaller, OVEN-1 util drops. | Job: High wait times hidden in median. Machine: Gaps visible but cause unclear. Batch: Low freq. | High | Frequent if batch windows fixed. |
| 2 | **Shipment Consolidation Policy** | J1, J4, S1 | J1 waits 5h 55m for J4. S1 dispatch lags J4 packed. S2/S3 show ~30m lag policy. | S1 may have transport constraints. If J4 urgent, policy fails. | Shipment: Fast Load->Dispatch. Job: No wait edge. | High | Recurs until policy change. |
| 3 | **Component Lot Release Coupling** | J2, J5, L7 | L7 Quarantine 10:20–13:50. J2 override; J5 waits. Lot events missing from Job log. | J5 ready 14:40 > Release 13:50; delay unclear. J2 bypasses. | Job: No lot events. Machine: No impact. ComponentLot: Visible but not linked to jobs. | Medium | Depends on lot quality. |
| 4 | **Shared Tool Contention** | J4, J3, FIX-A; J6, J5, CAL-3 | J4 waits 100m for FIX-A. J6 delayed 50m by CAL-3 recal. | FIX-A/CAL-3 utilization high during waits. | Job: No tool wait edge. Machine: Idle gaps unexplained. | Medium | Recurs with high tool demand. |
| 5 | **Machine Capacity** | OVEN-1, CNC-2, TEST-1 | Utilizations 44–58%. Longest gaps 39–73m. | Low utilization contradicts bottleneck. Gaps due to inputs/tools, not machine speed. | Machine: Utilization visible. Job: No correlation. | Low | Unlikely primary cause. |
| 6 | **Data Integration Artifacts** | Lot-Job links | Lot events not in Job flattening. J2/J5 lot status hidden. | Logs may be correct but extraction pipeline flawed. | Job: Missing edges. | High | Persistent if pipeline unchanged. |

## 4. What flattening misses

- **Job Flattening:**
  - *Visible:* Activity sequence, per-job duration.
  - *Hidden:* Lot blocking, batch sync waits, shipment partner waits.
  - *Misleading Conclusion:* "No job exceeds 1.8 duration." Masks extreme coupling waits; J1/J2 appear normal because waits are attributed to "Stage Component" or hidden.

- **Machine Flattening:**
  - *Visible:* Utilization, gaps, sequences.
  - *Hidden:* Reasons for gaps (tool unavailability, lot quarantine, batch sync).
  - *Misleading Conclusion:* "No severe machine bottleneck." Utilization low, but jobs wait due to resource constraints outside machines.

- **Batch Flattening:**
  - *Visible:* Batch start/end, composition.
  - *Hidden:* Job-level readiness variance within batch.
  - *Misleading Conclusion:* Batches look efficient; ignores that early-ready jobs wait hours.

- **Tool Flattening:**
  - *Visible:* Tool usage duration.
  - *Hidden:* Tool acquisition delays, contention with other jobs.
  - *Misleading Conclusion:* Tools used; ignores queuing.

- **ComponentLot Flattening:**
  - *Visible:* Quarantine/Release events.
  - *Hidden:* Impact on downstream jobs.
  - *Misleading Conclusion:* Lots processed; ignores job delays caused by lot status.

- **Shipment Flattening:**
  - *Visible:* Create->Load->Dispatch timing.
  - *Hidden:* Job-to-shipment wait.
  - *Misleading Conclusion:* "Shipment fast." J1 waits 6h hidden; only dispatch latency visible.

**Low Utilization vs. Long Wait:** Machines are idle because jobs cannot proceed due to unavailability of inputs (lots, tools, batch partners). Utilization measures machine busy time, not system throughput or job flow. Gaps reflect resource constraints elsewhere.

## 5. Object-lifecycle evidence

**Narrative 1: J1, B1, OVEN-1, RACK-7, S1**
- *Temporal:* J1 ready 08:10  B1 starts 12:05  B1 ends ~13:18  J1 packed 13:30  S1 dispatch 19:25.
- *Resource:* RACK-7 required for B1. OVEN-1 processes B1. S1 consolidates J1/J4.
- *Policy:* Batch window forces J1 to wait 4h. Shipment policy forces J1 to wait 6h post-pack.
- *Causal:* RACK-7 availability and batch sync policy cause initial delay; shipment policy causes final delay. J1 delayed by ~10h total due to coupling.

**Narrative 2: J4, FIX-A, CNC-2, J3**
- *Temporal:* J3 acquires FIX-A 09:00  J4 arrives CNC-2 09:50  J3 releases FIX-A 11:40  J4 process 11:45.
- *Resource:* FIX-A shared. CNC-2 available 10:05 but idle until J4 gets FIX-A.
