<think>
Here's a thinking thinking sequence

1.  **Deconstruct and Analyze Each Queue:**
                *   If Non-preemptive Priority: A05 started 09:05. At 09:05, A04 just finished. A05 is oldest? A05 arr 08:21. A06 arr 08:29. A05 is oldest.
                *   So FIFO and Non-preemptive Priority agree on A05 start.
                *   A06 starts 09:20. A06 is P2. A07 arr 08:35 P3. A08 arr 08:40 P1.
                *   At 09:20, A06 (P2), A07 (P3), A08 (P1) waiting.
                *   A06 starts.
                *   Priority predicts A08 (P1).
                *   FIFO predicts A06 (oldest).
                *   SPT predicts A07 (est 9) vs A06 (est 12) vs A08 (est 25). SPT predicts A07.
                *   A06 chosen. Supports FIFO. Contradicts Priority and SPT.
                *   *QA Conclusion:* FIFO is dominant. A03>A02 is the main anomaly. A03 has appointment. A03 est 10. A02 est 20.
                *   Could be SPT for appointments? Or Appointment rule?
                *   Given A06>A08 (P1), Priority is definitely out.
                *   Given A02>A04 (est 20 vs 7), SPT is out.
                *   FIFO explains almost everything.
                *   A03>A02: A03 has appointment. Maybe appointments are inserted at appointment time? A03 app 08:20. A03 arrived 08:08.
                *   If FIFO, A03 should wait behind A02.
                *   Maybe Appointment means "Treat arrival as appointment time"? If arrival=08:20, A03 arrives 08:20. A02 arrived 08:04. A02 still older.
                *   Maybe Appointment means "Jump queue"?
                *   Or maybe A02 was delayed? No, A02 starts 08:32.
                *   *QA Diagnosis:* Primary FIFO. Secondary Appointment (Appointments may skip FIFO or have priority). Confidence high for FIFO.

    *   *Queue QB:*
        *   Resource: B1 (general).
        *   Jobs:
            *   B01: Arr 09:00, P3, est 45. Seg: 09:02-09:16; 09:31-09:48; 10:14-10:28.
            *   B02: Arr 09:14, P1, est 15. Seg: 09:16-09:31.
            *   B03: Arr 09:20, P2, est 12. Seg: 09:48-10:00.
            *   B04: Arr 09:35, P3, est 8. Seg: 10:28-10:36.
            *   B05: Arr 09:46, P1, est 14. Seg: 10:00-10:14.
            *   B06: Arr 10:05, P2, est 20. Seg: 10:36-10:56.
            *   B07: Arr 10:08, App 10:30, P3, est 6. Seg: 10:56-11:02.
        *   *Analysis:*
            *   09:02: B01 starts. Only B01.
            *   09:16: B01 stops. "urgent arrival". B02 starts 09:16.
            *   B02 arr 09:14. P1. B01 P3.
            *   Preemption! B01 stopped for B02.
            *   Priority supports preemption (P1 > P3).
            *   SPT? B02 est 15. B01 remaining? B01 est 45. Seg 09:02-09:16 is 14 min. Remaining ~31. B02 est 15 < 31. SPT supports preemption.
            *   FIFO? No.
            *   *Result:* Preemption observed. B02 preempts B01.
            *   09:31: B02 ends. B03 starts? No, B01 resumes 09:31.
            *   Waiting at 09:31: B01 (resuming), B03 (arr 09:20, P2, est 12).
            *   B01 resumes.
            *   Priority: B03 is P2. B01 is P3. B03 should jump B01.
            *   SPT: B03 est 12. B01 remaining ~31. B03 should jump B01.
            *   FIFO: B01 is older. B01 resumes.
            *   *Observation:* B01 resumes over B03.
            *   This contradicts Priority and SPT.
            *   Supports FIFO (resume oldest).
            *   *Conflict:* B02 preempted B01 (Priority/SPT), but B01 resumed over B03 (FIFO).
            *   *Hypothesis:* Preemptive Priority? If so, B03 P2 should preempt B01 P3. It didn't.
            *   *Hypothesis:* Non-preemptive Priority? B02 preempted B01. So it is preemptive.
            *   *Hypothesis:* SPT? B03 est 12 < B01 rem 31. B03 should preempt. Didn't.
            *   *Hypothesis:* Preemption only for P1? B02 is P1. B03 is P2.
            *   If Preemptive Priority only for P1, B02 preempts B01. B03 doesn't preempt B01.
            *   This fits B01 resume.
            *   09:48: B01 stops. "dispatcher reassignment". B03 starts 09:48.
            *   B01 stops externally? "dispatcher reassignment" might mean B1 moved? Or B01 reassigned?
            *   Note says "second stop: dispatcher reassignment".
            *   B01 resumes 10:14.
            *   09:48: B03 starts. B03 P2. B01 P3.
            *   If B01 is paused by dispatcher, B03 runs.
            *   10:00: B03 ends. B05 starts? B05 arr 09:46, P1, est 14.
            *   Waiting at 10:00: B01 (paused), B04 (arr 09:35, P3, est 8), B05 (P1).
            *   B05 starts.
            *   Priority predicts B05 (P1).
            *   SPT predicts B04 (est 8) vs B05 (est 14). SPT predicts B04.
            *   FIFO predicts B04 (arr 09:35) vs B05 (arr 09:46). FIFO predicts B04.
            *   B05 chosen. Supports Priority. Contradicts SPT and FIFO.
            *   *Result:* B05 over B04 supports Priority.
            *   10:14: B05 ends. B01 resumes 10:14.
            *   Waiting: B01 (P3), B04 (P3, est 8), B06 (arr 10:05, P2, est 20).
            *   B01 resumes.
            *   Priority: B06 P2 > B01 P3. B06 should jump.
            *   SPT: B04 est 8. B01 rem ~17? B04 should jump.
            *   FIFO: B01 oldest. B01 resumes.
            *   *Observation:* B01 resumes over B06 and B04.
            *   Supports FIFO. Contradicts Priority and SPT.
            *   *Conflict:* B05>B04 supports Priority. B01 resume>B06 supports FIFO.
            *   *Synthesis:* Maybe Priority is used, but Preemption is restricted?
            *   B02 (P1) preempted B01.
            *   B05 (P1) jumped B04 (P3).
            *   B03 (P2) did not preempt B01.
            *   B06 (P2) did not preempt B01.
            *   *Pattern:* P1 preempts/jumps. P2 does not.
            *   This looks like Preemptive Priority for P1 only? Or Non-preemptive Priority where P1 jumps?
            *   If Non-preemptive, B02 shouldn't preempt B01. But B02 did.
            *   So Preemption exists.
            *   Preemption only for P1?
            *   B01 resumes over B03 (P2) and B06 (P2).
            *   This suggests P2 cannot preempt P3.
            *   So Preemptive Priority with threshold? P1 preempts all. P2 only jumps new starts?
            *   B03 didn't jump B01 resume. B06 didn't jump B01 resume.
            *   B05 jumped B04. B05 P1.
            *   *QB Diagnosis:* Preemptive Priority, but P1 only? Or Preemptive Priority where P2 doesn't preempt?
            *   Or maybe SPT with noise? B03 est 12 vs B01 rem 31. SPT fails hard.
            *   *QB Diagnosis:* Primary Preemptive Priority. Secondary: P2 does not preempt? Or "Urgent" flag? B02 note "urgent arrival". B05 no note.
            *   B05 is P1. B02 is P1.
            *   Both P1 actions show preemption/jump.
            *   P2 actions show no preemption.
            *   *QB Diagnosis:* Preemptive Priority. P1 preempts. P2 non-preemptive? Or P2 lower threshold?
            *   Confidence moderate. B01 resume over B03 is strong FIFO signal, but could be "P2 doesn't preempt".

    *   *Queue QC:*
        *   Resource: C1 (general). Prior job ends 10:10.
        *   Jobs:
            *   C01: Arr 10:00, DL 13:00, P3, est 36. Seg: 11:40-12:16.
            *   C02: Arr 10:03, DL 14:00, P3, est 8. Seg: 10:10-10:18.
            *   C03: Arr 10:05, DL 12:30, P2, est 14. Seg: 10:18-10:32.
            *   C04: Arr 10:07, DL 14:30, P3, est 22. Seg: 10:32-10:54.
            *   C05: Arr 10:11, DL 10:50, P1, est 40. Seg: 10:54-11:34.
            *   C06: Arr 10:25, DL 15:00, P3, est 6. Seg: 11:34-11:40.
            *   C07: Arr 10:40, DL 12:00, P2, est 18. Seg: 12:16-12:34.
        *   *Analysis:*
            *   10:10: C1 free. C01, C02, C03, C04 arrived?
            *   C01 arr 10:00. C02 arr 10:03. C03 arr 10:05. C04 arr 10:07.
            *   C02 starts 10:10.
            *   FIFO predicts C01.
            *   Priority: C03 P2. C05 not arrived. C03 should jump.
            *   SPT: C02 est 8. C01 est 36. C03 est 14. C04 est 22. C02 is shortest. SPT predicts C02.
            *   Deadline: C01 DL 13:00. C02 DL 14:00. C03 DL 12:30. C04 DL 14:30.
            *   Slack? C01 slack 13:00-10:10-36 = 2h14m. C02 slack 14:00-10:10-8 = 3h42m. C03 slack 12:30-10:10-14 = 2h6m. C03 tightest.
            *   If EDD (Earliest Due Date), C03 should go.
            *   C02 chosen.
            *   Supports SPT. Contradicts FIFO, Priority, EDD.
            *   10:18: C02 ends. C03 starts.
            *   Waiting: C01, C03, C04, C05(arr 10:11).
            *   C03 starts.
            *   FIFO: C01.
            *   Priority: C05 P1. C05 should jump.
            *   SPT: C03 est 14. C04 est 22. C01 est 36. C05 est 40. C03 shortest. SPT predicts C03.
            *   EDD: C05 DL 10:50. C05 is urgent! C05 DL 10:50. Current 10:18. C05 est 40. C05 will miss deadline if not started now?
            *   C05 starts 10:54. C05 completes 11:34. DL 10:50. C05 misses deadline badly.
            *   Note C05: "deadline already at risk when selected".
            *   C03 chosen over C05.
            *   Priority fails (C05 P1).
            *   EDD fails (C05 DL 10:50 vs C03 DL 12:30).
            *   SPT predicts C03.
            *   FIFO predicts C01.
            *   C03 chosen. Supports SPT.
            *   10:32: C03 ends. C04 starts.
            *   Waiting: C01, C04, C05, C06(arr 10:25).
            *   C04 starts.
            *   FIFO: C01.
            *   Priority: C05 P1.
            *   SPT: C06 est 6. C04 est 22. C01 est 36. C05 est 40. SPT predicts C06.
            *   EDD: C05 DL 10:50. C05 should go.
            *   C04 chosen.
            *   Contradicts FIFO, Priority, SPT, EDD.
            *   *Wait:* C04 est 22. C06 est 6. C06 arrived 10:25.
            *   C04 started 10:32.
            *   Why C04?
            *   Maybe C06 not eligible? Skill general. C06 general.
            *   Maybe C04 has appointment? No.
            *   Maybe C04 is P3. C06 P3.
            *   C04 arr 10:07. C06 arr 10:25.
            *   FIFO predicts C01.
            *   *Anomaly:* C04 over C01, C05, C06.
            *   C04 est 22. C06 est 6. SPT fails.
            *   C05 P1. Priority fails.
            *   C05 DL 10:50. EDD fails.
            *   *What explains C04?*
            *   Maybe C04 is "oldest P3"? C01 is P3. C01 older.
            *   Maybe C04 has hidden priority? No.
            *   *Hypothesis:* SPT with "batches"? No.
            *   *Hypothesis:* C04 started 10:32. C06 arrived 10:25.
            *   Scan delay? C06 could be 10:27.
            *   Still C06 est 6.
            *   *Maybe C06 est 6 is noise?*
            *   *Maybe C04 is special?*
            *   *Look at C01:* C01 est 36. C01 starts 11:40.
            *   C01 is "oldest job, executed last among initial backlog".
            *   C01 has huge est.
            *   SPT would bury C01.
            *   C01 starts 11:40. C06 ends 11:40.
            *   C01 starts after C06.
            *   C06 est 6. C01 est 36.
            *   SPT predicts C06 before C01.
            *   C06 starts 11:34. C01 starts 11:40.
            *   C06 before C01 supports SPT.
            *   *Back to C04:* C04 over C06?
            *   C04 est 22. C06 est 6.
            *   SPT fails.
            *   *Maybe C06 not in queue?*
            *   C06 arr 10:25. C04 starts 10:32.
            *   C06 should be there.
            *   *Maybe C06 is appointment?* No.
            *   *Maybe C04 is P2?* Data P3.
            *   *QC Diagnosis:* SPT is strong for C02, C03, C06 vs C01.
            *   C04 is the outlier.
            *   C05 P1 missed deadline, not prioritized.
            *   Priority is out.
            *   FIFO is out (C01 last).
            *   SPT fits most, except C04 vs C06.
            *   C04 vs C06: C04 est 22, C06 est 6.
            *   Could be SPT with "minimum est"? No.
            *   Could be C06 est 6 is wrong?
            *   Or C04 est 22 is wrong?
            *   Or C04 has hidden attribute?
            *   *QC Diagnosis:* Primary SPT. Secondary: C04 anomaly. Confidence moderate.

    *   *Queue QD:*
        *   Resources: D-M (mech, 11:00-12:30), D-F (firm/elect, meet 12:00-12:20), D-X (mech/elect, 11:20-13:00).
        *   Skill-based routing is likely.
        *   Jobs:
            *   D01: Arr 11:00, P3, mech, est 25. Seg: 11:00-11:25. Res D-M.
            *   D02: Arr 11:01, P3, firm, est 20. Seg: 11:01-11:21. Res D-F.
            *   D03: Arr 11:03, P2, elect, est 15. Seg: 11:21-11:36. Res D-F.
            *   D04: Arr 11:05, P3, mech, est 10. Seg: 11:25-11:35. Res D-M.
            *   D05: Arr 11:07, P2, firm+elect, est 30. Seg: 12:20-12:50. Res D-F. Note: "D-F only fully qualified".
            *   D06: Arr 11:10, App 11:30, P2, elect, est 18. Seg: 11:30-11:48. Res D-X. Note: "appointment".
            *   D07: Arr 11:14, P3, mech+elect, est 28. Seg: 11:48-12:16. Res D-X.
            *   D08: Arr 11:16, P1, mech, est 8. Seg: 11:35-11:43. Res D-M.
            *   D09: Arr 11:20, P3, mech, est 20. Seg: 11:43-12:03. Res D-M.
            *   D10: Arr 11:25, P1, elect, est 12. Seg: 12:16-12:28. Res D-X. Note: "D-F still unavailable until 12:20".
        *   *Analysis:*
            *   Skill constraints are tight.
            *   D01 mech -> D-M. D02 firm -> D-F. D03 elect -> D-F. D04 mech -> D-M.
            *   D05 firm+elect -> D-F only.
            *   D06 elect -> D-X (D-F busy? D-F ends D03 11:36. D06 starts 11:30. D-F busy. D-X available 11:20. D06 has app 11:30. D06 starts 11:30. D-X free? D-X starts 11:30. D-X free at 11:20. D06 starts 11:30 due to app? Or D-X busy? D-X free. App 11:30. D06 starts 11:30. Appointment honored.)
            *   D07 mech+elect -> D-X. D-X ends D06 11:48. D07 starts 11:48.
            *   D08 mech -> D-M. D-M ends D04 11:35. D08 starts 11:35.
            *   D09 mech -> D-M. D-M ends D08 11:43. D09 starts 11:43.
            *   D10 elect -> D-X. D-X ends D07 12:16. D10 starts 12:16.
            *   *Dispatching:*
            *   D-M: D01, D04, D08, D09.
            *   D01 arr 11:00. D04 arr 11:05. D08 arr 11:16 P1. D09 arr 11:20.
            *   D01 starts 11:00.
            *   D04 starts 11:25. D04 over D08? D08 arr 11:16 P1.
            *   D04 P3. D08 P1.
            *   D04 starts 11:25. D08 starts 11:35.
            *   D04 over D08 contradicts Priority.
            *   D04 est 10. D08 est 8. SPT predicts D08.
            *   D04 over D08 contradicts SPT.
            *   D04 arr 11:05. D08 arr 11:16. FIFO predicts D04.
            *   D04 over D08 supports FIFO.
            *   D08 over D09? D08 starts 11:35. D09 starts 11:43.
            *   D08 P1. D09 P3. Priority supports D08.
            *   D08 est 8. D09 est 20. SPT supports D08.
            *   D08 arr 11:16. D09 arr 11:20. FIFO supports D08.
            *   D08>D09 consistent.
            *   D-F: D02, D03, D05.
            *   D02 arr 11:01. D03 arr 11:03 P2. D05 arr 11:07 P2.
            *   D02 starts 11:01.
            *   D03 starts 11:21. D03 over D05? D03 arr 11:03. D05 arr 11:07. FIFO supports D03.
            *   D03 P2. D05 P2. Priority tie.
            *   D03 est 15. D05 est 30. SPT supports D03.
            *   D03>D05 consistent.
            *   D05 starts 12:20. D-F meeting 12:00-12:20.
            *   D05 delayed by resource.
            *   D-X: D06, D07, D10.
            *   D06 arr 11:10 App 11:30 P2. D07 arr 11:14 P3. D10 arr 11:25 P1.
            *   D06 starts 11:30.
            *   D07 starts 11:48. D07 over D10? D07 arr 11:14. D10 arr 11:25 P1.
            *   D07 P3. D10 P1.
            *   D07 starts 11:48. D10 starts 12:16.
            *   D07 over D10 contradicts Priority.
            *   D07 est 28. D10 est 12. SPT predicts D10.
            *   D07 over D10 contradicts SPT.
            *   D07 arr 11:14. D10 arr 11:25. FIFO predicts D07.
            *   D07>D10 supports FIFO.
            *   *QD Diagnosis:* FIFO dominates.
            *   D04>D08 (FIFO). D07>D10 (FIFO).
            *   Skill constraints force routing.
            *   QD Diagnosis: Primary FIFO. Secondary Skill-based routing.
            *   Confidence high.

2.  **Structure the Output:**

    *   *Table:* QA: FIFO/Appointment. QB: Preemptive Priority (P1 only). QC: SPT. QD: FIFO/Skill.
    *   *Confidence:* QA high. QB moderate. QC moderate (C04 anomaly). QD high.
    *   *Reconstructed Decisions:* Pick key times.
        *   QA: 08:20 (A03 vs A02), 08:32 (A02 vs A04), 09:20 (A06 vs A08).
        *   QB: 09:16 (B02 preempt B01), 09:31 (B01 resume vs B03), 10:00 (B05 vs B04).
        *   QC: 10:10 (C02 vs C01), 10:18 (C03 vs C05), 10:32 (C04 vs C06).
        *   QD: 11:25 (D04 vs D08), 11:48 (D07 vs D10), 11:30 (D06 app).
    *   *Support/Contradict:*
        *   QA: A02>A04 supports FIFO. A03>A02 supports App/SPT. A06>A08 supports FIFO.
        *   QB: B02 preempt supports Prio. B01 resume supports FIFO/P2-no-preempt. B05>B04 supports Prio.
        *   QC: C02, C03, C06 support SPT. C04 contradicts. C05 contradicts Prio/EDD.
        *   QD: D04>D08 supports FIFO. D07>D10 supports FIFO. Skill constraints support routing.
    *   *Counterfactuals:*
        *   QA: A03>A02. If SPT, A03 est 10. If App, A03 app. Discriminator: A03 est vs A02 est if est swapped? Or check other apps.
        *   QC: C04>C06. If SPT, C06 est 6. If FIFO, C04 older. Discriminator: C06 est accuracy.
    *   *Exceptions:*
        *   Scan delay. Calibration. Meeting. Reassignment. Deadline risk note.
    *   *Data Needed:*
        *   Queue entry time. Dispatch decision time. Eligibility set. Remaining est. Policy version.
    *   *Synthesis:*
        *   QD most identifiable (Skill+FIFO). QA identifiable (FIFO+App). QB ambiguous (Prio vs FIFO hybrid). QC ambiguous (SPT vs C04).
        *   Dangerous inference: Assuming Priority in QA/QD. Assuming FIFO in QB/QC.

3.  **Refine Details and Calculations:**

    *   *QC C04:* C04 est 22. C06 est 6. C04 arr 10:07. C06 arr 10:25.
        *   C04 starts 10:32. C06 starts 11:34.
        *   C04 jumps C06.
        *   FIFO supports C04. SPT fails.
        *   C01 arr 10:00. C01 starts 11:40.
        *   C04 jumps C01. FIFO fails.
        *   C04 is weird. C04 est 22. C01 est 36. SPT supports C04 over C01.
        *   C04 over C01 supports SPT.
        *   C04 over C06 fails SPT.
        *   C04 over C05 (P1) fails Prio.
        *   C04 over C05 (DL 10:50) fails EDD.
        *   C04 is the strongest contradiction to SPT.
        *   Maybe C04 has hidden priority? Or C06 est 6 is wrong?
        *   Or C04 is "batch" with C03? C03 ends 10:32. C04 starts 10:32.
        *   C03 est 14. C04 est 22.
        *   No obvious batch.
        *   *QC Diagnosis:* SPT is best fit, but C04 is a major violation. Confidence drops.
        *   Maybe SPT with "Lookahead"? No.
        *   Maybe C04 is P2? Data P3.
        *   *QC Diagnosis:* SPT with low confidence due to C04.

    *   *QB B01 Resume:*
        *   B01 resume 09:31. B03 waiting.
        *   B01 P3. B03 P2.
        *   If Priority, B03 should go.
        *   B01 resume supports "Preemption only for P1".
        *   Or "Non-preemptive Priority with P1 jump".
        *   If Non-preemptive, B02 shouldn't preempt.
        *   B02 preempted.
        *   So Preemptive.
        *   Preemptive P1 only?
        *   B05 P1 jumped B04.
        *   B06 P2 didn't jump B01.
        *   This fits "Preemptive Priority, P1 preempts, P2 non-preemptive".
        *   Or "Preemptive Priority, P1 preempts, P2 preempts only if est < rem?"
        *   B03 est 12. B01 rem 31. B03 < B01. SPT would preempt.
        *   B03 didn't.
        *   So SPT is out.
        *   QB Diagnosis: Preemptive Priority with P1-only preemption.

    *   *QA A03:*
        *   A03 app 08:20. A03 starts 08:20.
        *   A03 est 10. A02 est 20.
        *   SPT supports A03.
        *   Appointment supports A03.
        *   A02>A04 kills SPT.
        *   So SPT is out.
        *   Appointment remains.
        *   QA Diagnosis: FIFO with Appointment exception.

4.  **Final Polish:**

    *   Write markdown.
    *   Ensure tables.
    *   Ensure headings.
    *   Check constraints.
    *   Add assumptions.
    *   Distinguish observations vs hypotheses.
    *   Result looks solid.

</think>
# 1. Queue-by-queue diagnosis

| Queue | primary_discipline | secondary_or_hybrid_component | confidence_0_to_100 | strongest_supporting_episode | strongest_contradicting_episode | main_identifiability_problem |
|:---|:---|:---|---:|:---|:---|:---|
| **QA** | FIFO | Appointment-based skipping | 85 | A02 starts 08:32 over waiting P1 A04 (est 7) and P3 A05; A06 starts 09:20 over waiting P1 A08. | A03 starts 08:20 over waiting A02; A03 has appointment and shorter estimate. | Observational equivalence between Appointment skipping and SPT for A03>A02, resolved by A02>A04 killing SPT. |
| **QB** | Preemptive Priority | Preemption restricted to Priority 1 | 70 | B02 (P1) preempts B01 (P3) at 09:16; B05 (P1) jumps B04 (P3) at 10:00. | B01 resumes 09:31 over waiting B03 (P2); B01 resumes 10:14 over waiting B06 (P2). | Ambiguity between "P2 cannot preempt" and "SPT with noisy estimates"; B01 resume strongly favors priority-threshold model. |
| **QC** | SPT (Shortest Processing Time) | None detected (or Deadline-aware fallback not triggered) | 55 | C02 (est 8) selected over C01 (est 36) at 10:10; C03 (est 14) over C05 (P1, est 40) at 10:18; C06 (est 6) over C01 at 11:34. | C04 (est 22) selected over C06 (est 6) and C05 (P1, DL 10:50) at 10:32; C01 executed last despite oldest arrival. | C04 vs C06 is a hard SPT violation; C05 deadline miss suggests SPT ignores deadlines or C05 est is strategically inflated. |
| **QD** | FIFO | Skill-based routing constraints | 90 | D04 (P3) starts 11:25 over waiting D08 (P1) on D-M; D07 (P3) starts 11:48 over waiting D10 (P1) on D-X. | None significant; all selections consistent with FIFO within skill-eligible subsets. | Skill constraints mask potential priority/SPT signals; however, FIFO holds even when skills allow choice. |

**Assumptions:**
1. *Scan Delay:* Arrival times may be up to 2 minutes early in the log relative to true queue entry. This is accounted for by treating jobs as eligible only after `arrival - 2min` in worst-case bounds, though no decision changes under this perturbation.
2. *Estimates:* `est_min` is the value visible to dispatch. Strategic inflation or noise is possible but treated as the ground truth for discipline testing unless noted.
3. *Resource Exceptions:* Calibration and meetings are hard constraints. "Dispatcher reassignment" in QB is treated as an external pause, not a dispatch choice.
4. *Appointments:* Appointments are treated as potential triggers for policy exceptions (e.g., skipping FIFO) rather than hard start times, supported by A06 starting late and B07 note.

# 2. Reconstructed dispatch decisions

## Queue QA
*Resource A1 available except 08:52-08:58.*

| Time | Eligible Waiting Jobs | Observed Choice | FIFO | Priority | SPT | Appointment | Diagnosis |
|:---|:---|:---|:---|:---|:---|:---|:---|
| **08:20** | A02 (P3, est 20, arr 08:04), A03 (P3, est 10, arr 08:08, App 08:20) | **A03** | A02 | Tie (P3) | A03 | A03 | A03>A02 supports SPT or Appointment. |
| **08:32** | A02 (P3, est 20), A04 (P1, est 7, arr 08:13), A05 (P3, est 15, arr 08:21) | **A02** | A02 | A04 | A04 | None | A02>A04 strongly contradicts Priority and SPT. Supports FIFO. |
| **09:20** | A06 (P2, est 12, arr 08:29), A07 (P3, est 9, arr 08:35), A08 (P1, est 25, arr 08:40) | **A06** | A06 | A08 | A07 | None | A06>A08 contradicts Priority. A06>A07 contradicts SPT. Supports FIFO. |

*Conclusion:* FIFO is dominant. A03>A02 is the only anomaly, explained by Appointment skipping or SPT. A02>A04 and A06>A08 kill SPT and Priority globally.

## Queue QB
*Resource B1 available.*

| Time | Eligible Waiting Jobs | Observed Choice | FIFO | Priority | SPT | Appointment | Diagnosis |
|:---|:---|:---|:---|:---|:---|:---|:---|
| **09:16** | B01 (P3, rem ~31, running), B02 (P1, est 15, arr 09:14) | **B02** (Preempts B01) | No Preempt | B02 | B02 | None | Preemption observed. Supports Preemptive Priority or SPT. |
| **09:31** | B01 (P3, rem ~31, paused), B03 (P2, est 12, arr 09:20) | **B01** (Resumes) | B01 | B03 | B03 | None | B01>B03 contradicts Priority and SPT. Supports FIFO or "P2 no preempt". |
| **10:00** | B01 (P3, paused), B04 (P3, est 8, arr 09:35), B05 (P1, est 14, arr 09:46) | **B05** | B04 | B05 | B04 | None | B05>B04 supports Priority. Contradicts FIFO and SPT. |

*Conclusion:* P1 jobs (B02, B05) trigger preemption/jumps. P2 jobs (B03, B06) do not preempt P3. Consistent with Preemptive Priority where only P1 preempts.

## Queue QC
*Resource C1 available from 10:10.*

