<think>
Thinking Process:

1.  **Analyze the Request:**
            *   Implement: u_cs. *Violation RR2?* Draft u_cs, Implement u_cs. RR1 is Draft/Approve. RR2 is Implement/Verify. Is there a Draft/Implement separation? Not explicitly in RR1/RR2. But often Drafter != Implementer. Rules provided only specify RR1 (Draft/Approve) and RR2 (Impl/Verify). So Draft/Impl same person might be allowed by provided rules, though risky.
            *   Verify: svc_qms. Session WS-IV-02. Badge/FIDO identify Eva. Strong attribution to Eva.
        *   **CHG-510:** 2026-08-11. HIGH, cooling_system, Emergency=true.
            *   Draft: u_cs (14:10)
            *   Approve: u_cs (14:20). *Violation RR1.* Clara Draft & Approve.
            *   Authority: Clara relied on D-IC-04 (Farid->Clara). D-IC-03 (Diego->Farid) prohibited subdelegation. So D-IC-04 is invalid. Clara had no authority.
            *   Implement: u_dm
            *   Verify: u_en
            *   Retro Review: u_bk (08-12 10:00). Within 2 business days of 08-11? 12th is Day 1. OK. Ben authorized (D-QM-01).

3.  **Drafting the Content:**

    *   **Section 1: Matrix.** Need to list humans, aliases, roles, delegations, intervals, etc.
    *   **Section 2: Rule Interpretation.** Formalize RR1-RR6. Define business days (exclude weekends/holidays). Principal on leave (VPN session = present?). DB entry vs Signed PDF (Signed PDF establishes validity from signature time, DB is record-keeping).
    *   **Section 3: Case Findings.** Row per case.
    *   **Section 4: Collusion.** Analyze Ben/Clara pattern, Ben sick leave usage, Service accounts.
    *   **Section 5: Code.** Python with pm4py/pandas.
    *   **Section 6: Controls.** Recommendations.
    *   **Section 7: Conclusion.** Summary.

4.  **Refining Specific Cases:**

    *   **CHG-501:** Ben approved HIGH. D-QM-01 valid (08-10 to 08-14). Asha on leave. Scope production_equipment. Valid.
    *   **CHG-502:** Clara Draft & Approve LOW. RR1 Violation. Unauthorized (Self-approval).
    *   **CHG-503:** Ben approved HIGH. D-QM-01 valid. Verify by svc_qms. Session links to Diego (WS-DM-04). Diego is Implementer. RR2 Violation (Implementer verifying via service account?). Or Identity Problem (svc_qms not mapped). Classification: DATA_OR_IDENTITY_PROBLEM (svc_qms) + Potential RR2 Violation if attributed to Diego. Let's classify as DATA_OR_IDENTITY_PROBLEM leading to potential UNAUTHORIZED verification.
    *   **CHG-504:** Asha approved HIGH while on leave. VPN session proves activity. Role valid. Policy violation (working on leave) vs System Authority. Classification: SUSPICIOUS_PATTERN (Working while on leave) but Authority is VALID (She is QM). However, RR3 says "QM or valid delegate". She is QM. The leave status is HR policy, not necessarily system access control, but "Principal-absence condition" for delegation suggests if she is present, delegation isn't needed, but her own action is valid. However, if she is on *official* leave, she might be system-locked usually. The fact she VPN'd suggests bypass. Let's call it SUSPICIOUS_PATTERN (Policy breach) but Authority Technically Valid. Or UNAUTHORIZED if leave implies revoked authority. Prompt says "Evaluate roles and delegations at the event timestamp". She holds the role. I will mark as SUSPICIOUS_PATTERN (Leave violation) but Authority Valid.
    *   **CHG-505:** Emergency. Farid approved (IC Delegate D-IC-03 valid). Retro Review by Ben on 08-14. 08-11 (Mon) -> 08-12 (Tue), 08-13 (Wed). 08-14 (Thu) is Day 3. Late. Also Ben on sick leave 08-13 12:00 onwards. Review 08-14. Ben on sick leave. Classification: UNAUTHORIZED (Late review + Sick leave actor).
    *   **CHG-506:** Ben approved HIGH on 08-13 13:00. Ben sick leave from 12:00. IP Office. Ben denies. Classification: UNAUTHORIZED (Credential misuse/Sick leave violation).
    *   **CHG-507:** Eva approved HIGH on 08-09. Eva not QM. No delegation. Classification: UNAUTHORIZED.
    *   **CHG-508:** Ben Draft & Approve (aliases b.koch/u_bk). LOW risk. RR1 Violation. Classification: UNAUTHORIZED.
    *   **CHG-509:** Eva approved HIGH Training on 08-15. D-QM-02 valid (08-15, Training, Asha absent). Verify svc_qms (attributed to Eva). Classification: VALID_SUBSTITUTION.
    *   **CHG-510:** Clara approved HIGH Emergency. Relied on D-IC-04 (Invalid subdelegation). Classification: UNAUTHORIZED.

5.  **Refining Rule Interpretation:**
    *   Business Days: Mon-Fri, excluding holidays. 08-15/16 Weekend.
    *   Principal Absence: VPN session implies presence, invalidating "absence" condition for delegation necessity, but doesn't strip Principal's own authority. However, if delegation requires absence *to be valid*, and Principal acts, delegation isn't used. If Principal acts while on leave, it's a policy violation.
    *   DB Entry vs Signed PDF: Signed PDF timestamp establishes intent/authority start. DB record is administrative. Validity starts from Signed PDF time if backdated correctly, or DB creation if system enforcement relies on DB. Prompt says "Evidence: Signed PDF timestamp 2026-08-09... QMS database record was created 2026-08-12". System likely checks DB. If system checks DB, actions on 08-10, 08-11 might be technically blocked unless DB was backfilled or system relies on PDF. Prompt says "QMS database record was created 2026-08-12". This suggests actions on 08-10, 08-11 (CHG-501, CHG-505) might have been technically unauthorized *in the system* if the system checks the DB table for delegation validity, even if the PDF existed. This is a "Stale master data" or "Data problem". I need to weigh this. RR3 says "valid QM delegate... Evidence...". If the system didn't know about the delegation until 08-12, technically the system allowed it without record? Or the system allowed it based on PDF upload? I will note this as a DATA_OR_IDENTITY_PROBLEM risk for early actions under D-QM-01.

6.  **Code Structure:**
    *   Load CSV.
    *   Map aliases (b.koch -> u_bk).
    *   Map svc_qms based on session evidence (hardcoded logic for demo).
    *   Define Role/Delegation tables as DataFrames.
    *   Merge event log with Role/Delegation on timestamp.
    *   Check RR1 (Draft != Approve).
    *   Check RR2 (Impl != Verify).
    *   Check RR3 (HIGH Approve == QM or Delegate).
    *   Check RR4 (Emergency Retro Review).
    *   PM4Py networks.

7.  **Collusion Analysis:**
    *   Clara/Ben high frequency.
    *   Ben's account used while sick.
    *   Service account shared.

8.  **Final Review of Constraints:**
    *   No questions.
    *   Exact headings.
    *   Code block executable (using StringIO).
    *   Evaluate at event timestamp.

    *Self-Correction on CHG-501/503/505 (D-QM-01 DB Lag):*
    D-QM-01 Signed 08-09. DB Created 08-12.
    Events:
    CHG-501 (08-11): Ben approves. System DB doesn't have delegation yet. Technically system violation if system enforces DB. But human process valid (PDF exists). This is a "Data/Identity Problem" (Stale master data).
    CHG-503 (08-12): Ben approves. DB created 08-12 09:15. Approval 11:30. OK.
    CHG-505 (08-11): Farid approves (IC). D-IC-03 registered before use. OK.
    CHG-506 (08-13): Ben approves. DB exists. But Ben sick.
    
    *Refining CHG-501 Classification:* Since the DB record was missing at event time, the system *should* have flagged it if strictly enforced. However, the PDF existed. This is a "Stale master data" issue. I will classify as DATA_OR_IDENTITY_PROBLEM (Stale Delegation Record) but note the underlying authority was likely valid via PDF.
    *Wait, RR3 says:* "A delegation is valid only if... Evidence...". It doesn't explicitly say "System DB record must exist at event time", but implies valid evidence. The PDF is evidence. The DB lag is an IT control weakness. I will classify as VALID_SUBSTITUTION (based on PDF) but flag the Data Latency risk.
    *Actually, looking at RR3:* "valid QM delegate... Evidence...". If the evidence (PDF) exists, it's valid. The DB lag is a secondary control failure. I'll stick with VALID_SUBSTITUTION but note the data lag in findings.
    *Wait, CHG-504:* Asha on leave. VPN session. She approved. Is this UNAUTHORIZED? She is the QM. Leave is HR policy. System access was active. I will classify as SUSPICIOUS_PATTERN (Policy Violation) but Authority Valid.
    *CHG-505 Retro Review:* Ben on sick leave 08-13 12:00. Review 08-14 16:00. He was on sick leave. Account usage suspected. UNAUTHORIZED.

    *Code Details:* Need to ensure `pm4py` imports are handled gracefully (try/except or just standard import assuming environment). The prompt asks for "executable Python code block". I will write it assuming `pm4py` and `pandas` are installed. I must use `io.StringIO`.

    *Heading Check:*
    1. Actor–Role–Delegation Matrix
    2. Rule Interpretation
    3. Case Findings
    4. Collusion and Alternative-Explanation Analysis
    5. PM4Py and pandas Checking Code
    6. Control Improvements
    7. Executive Conclusion

    *Let's build the Matrix.*
    *Let's build the Case Findings table.*
    *Let's write the Code.*

    *One detail on CHG-509:* Eva approves. D-QM-02 valid 08-15. Asha leave ended 08-14. Is Asha absent on 08-15 (Weekend)? Yes, likely. Scope Training. Valid.
    *One detail on CHG-503 Verify:* svc_qms. Session WS-DM-04 (Diego). Diego Implemented. RR2 Violation (Implementer verifying). Classification: UNAUTHORIZED (SoD Violation via Shared Account).

    *Let's finalize CHG-501:* Ben approves 08-11. D-QM-01 DB created 08-12. If the system relies on DB for enforcement, this is a bypass. If the system relies on PDF upload, it's ok. Given "QMS database record was created 2026-08-12... during migration", this implies the system didn't have the record at 08-11. This is a "Stale master data" scenario. I will classify as DATA_OR_IDENTITY_PROBLEM (Stale Delegation Record) with a note that human authority existed via PDF.
    *Actually, prompt says:* "Apparent resource violations may reflect... stale master data". This fits perfectly.

    *Let's finalize CHG-506:* Ben sick leave. Account used. UNAUTHORIZED (Credential Misuse).

    *Let's finalize CHG-507:* Eva approves HIGH. Not QM. No delegation. UNAUTHORIZED.

    *Let's finalize CHG-510:* Clara approves via invalid subdelegation. UNAUTHORIZED.

    *Let's finalize CHG-502:* Clara Draft/Approve. UNAUTHORIZED.

    *Let's finalize CHG-508:* Ben Draft/Approve (alias). UNAUTHORIZED.

    *Let's finalize CHG-504:* Asha on leave, VPN active. SUSPICIOUS_PATTERN (Leave Policy vs System Access).

    *Let's finalize CHG-505:* Retro review late + Ben sick. UNAUTHORIZED.

    *Let's finalize CHG-503 Verify:* svc_qms attributed to Diego (Implementer). UNAUTHORIZED (SoD).

    *Let's finalize CHG-509:* Eva approves (Delegate). VALID_SUBSTITUTION.

    *Let's finalize CHG-501:* Ben approves (Delegate). PDF exists, DB lag. DATA_OR_IDENTITY_PROBLEM (Stale Data) / VALID_SUBSTITUTION (Human). I will prioritize DATA_OR_IDENTITY_PROBLEM as the "Apparent violation" explanation per prompt instructions ("Apparent resource violations may reflect... stale master data").

    *Wait, CHG-501 Approve:* u_bk. D-QM-01 Signed 08-09. DB 08-12. Event 08-11.
    If I classify as VALID_SUBSTITUTION, it ignores the DB lag risk. If I classify as DATA_OR_IDENTITY_PROBLEM, it highlights the system control failure. The prompt asks to assess whether deviation is "unauthorized act, valid substitution, data/identity problem...". I will choose DATA_OR_IDENTITY_PROBLEM because the system record was missing, even if the PDF existed. This reflects the "stale master data" option in the prompt intro.

    *Wait, CHG-505 Retro Review:* Ben u_bk. 08-14 16:00. Ben sick leave 08-13 12:00 to 08-14 23:59.
    Review performed while on sick leave. Account usage suspicious. UNAUTHORIZED.

    *Wait, CHG-504:* Asha u_as. 08-13 09:22. Asha leave 08-10 to 08-14. VPN 09:15-09:40.
    She is the Principal QM. She has authority. She is on leave. This is a policy violation, not necessarily an authority violation (she *is* QM). But RR3 says "QM or valid delegate". She is QM. So Authority is VALID. But "Principal-absence condition" for delegation isn't relevant here because she acted as Principal. The violation is HR policy. I will classify as SUSPICIOUS_PATTERN (Policy Breach).

    *Wait, CHG-503 Verify:* svc_qms. Attributed to Diego (Implementer). RR2 Violation. UNAUTHORIZED.

    *Wait, CHG-509 Verify:* svc_qms. Attributed to Eva (Verifier). VALID.

    *Okay, ready to write.*

</think>
## 1. Actor–Role–Delegation Matrix

| Human/identity | Aliases | Standing role | Delegated role | Effective interval | Scope | Principal-absence condition | Evidence strength | Key caveat |
|---|---|---|---|---|---|---|---|---|
| Asha Rao | u_as | Quality Manager (QM) | N/A | 2026-01-01 onward | All | N/A | High (Principal) | VPN activity during official leave creates policy conflict. |
| Ben Koch | u_bk, b.koch | Quality Engineer | QM (D-QM-01) | 2026-08-10 00:00 – 2026-08-14 23:59 | Production-equipment | Asha absent | Medium (PDF signed, DB lag) | DB record created 2026-08-12; actions on 08-10/11 lack system record. Sick leave 08-13 12:00 onward. |
| Clara Stein | u_cs | Process Engineer | IC (D-IC-04) | 2026-08-11 14:00 – 16:00 | Cooling Incident CI-44 | Farid absent | None (Invalid) | Subdelegation prohibited by D-IC-03. |
| Diego Martins | u_dm | Maintenance Lead / IC | N/A | IC from 2026-07-01 | Cooling Incident | N/A | High | Shared workstation (WS-DM-04) linked to service account usage. |
| Eva Novak | u_en | Indep. Verifier / QE | QM (D-QM-02) | 2026-08-15 00:00 – 23:59 | Training-document | Asha absent | High (DB record pre-interval) | Role changes 2026-08-12; not QM before delegation. |
| Farid Lang | u_fl | Shift Supervisor | IC (D-IC-03) | 2026-08-11 12:00 – 18:00 | Cooling Incident CI-44 | Diego absent | High | Cannot subdelegate (D-IC-03 condition). |
| Grace Li | u_gl | Site Director | N/A | 2026-01-01 onward | N/A | N/A | High | No QM or Verifier standing authority. |
| svc_qms | N/A | Service Account | N/A | N/A | N/A | N/A | Low (Requires session mapping) | Attribution depends on workstation/badge logs (Diego vs. Eva). |

**Normalization and Attribution:**
- **Aliases:** `u_bk` and `b.koch` are normalized to `u_bk` (Ben Koch) before Segregation-of-Duties (SoD) checks.
- **Service Accounts:** `svc_qms` is not a human. Actions are attributed to the human identified in session evidence (e.g., WS-DM-04  Diego; WS-IV-02 + FIDO  Eva). If no session evidence exists, the action is flagged as `UNIDENTIFIED_HUMAN`.

## 2. Rule Interpretation

- **RR1 (Draft/Approve Separation):** `Draft_Change_Request` resource != `Approve_Change` resource (normalized human ID).
- **RR2 (Implement/Verify Separation):** `Implement_Change` resource != `Verify_Implementation` resource (normalized human ID, including service account attribution).
- **RR3 (High-Risk Approval):** For `risk == HIGH`, `Approve_Change` performer must hold standing QM role OR valid QM delegation at `time:timestamp`.
    - **Delegation Validity:** Requires signed evidence *before* event time. System DB record lag creates a data conformance gap even if human authority exists.
    - **Principal Absence:** If Principal (Asha) is active (e.g., VPN session), delegation necessity is voided, but Principal's own authority remains valid unless HR policy overrides system access.
- **RR4 (Emergency Review):** For `emergency == true`, `Retrospective_QM_Review` must occur within **2 business days** of `Approve_Change`.
    - **Business Days:** Monday–Friday, excluding site holidays. 2026-08-15/16 are weekends.
    - **Reviewer Authority:** Must be QM or valid QM delegate at time of review.
- **RR5 (Identity Evidence):** Service accounts (`svc_qms`) fail conformance unless mapped to a human via session logs. Aliases must be merged.
- **RR6 (Suspicion vs. Proof):** Patterns (e.g., repeated pairs) trigger investigation but do not constitute proof without session/credential evidence.

## 3. Case Findings

| Case | Apparent violation | Identity resolution | Event-time authority | Delegation analysis | SoD analysis | Classification | Severity | Confidence | Alternative explanation | Missing evidence |
|---|---|---|---|---|---|---|---|---|---|---|
| CHG-501 | Ben approving HIGH risk | u_bk (Ben) | Ben (Delegate) | D-QM-01 PDF signed, DB missing | Pass (Clara/Ben) | DATA_OR_IDENTITY_PROBLEM | Medium | High | Stale master data (DB lag) | System log of DB update time |
| CHG-502 | Clara Draft & Approve | u_cs (Clara) | Clara (Drafter) | N/A | Fail (RR1) | UNAUTHORIZED | High | High | System bypass | Approval justification log |
| CHG-503 | Service account Verify | svc_qms  Diego | Diego (Implementer) | N/A | Fail (RR2, Diego Impl & Verify) | UNAUTHORIZED | High | High | Shared workstation misuse | CCTV or specific user auth log |
| CHG-504 | Asha approving on leave | u_as (Asha) | Asha (QM) | N/A (Principal) | Pass | SUSPICIOUS_PATTERN | Medium | High | Urgent operational need | HR policy exception record |
| CHG-505 | Late/Sick Retro Review | u_bk (Ben) | Ben (Delegate) | D-QM-01 Valid | Pass | UNAUTHORIZED | High | High | Account sharing during sickness | Ben's whereabouts 08-14 16:00 |
| CHG-506 | Ben approving while sick | u_bk (Ben) | Ben (Delegate) | D-QM-01 Valid | Pass | UNAUTHORIZED | High | High | Credential compromise | Workstation login biometrics |
| CHG-507 | Eva approving HIGH | u_en (Eva) | Eva (Verifier) | No QM delegation | Pass | UNAUTHORIZED | High | High | Role confusion | Delegation request log |
| CHG-508 | Ben Draft & Approve | u_bk (Ben) | Ben (Engineer) | N/A | Fail (RR1, alias normalized) | UNAUTHORIZED | Medium | High | Low risk oversight | Risk assessment justification |
| CHG-509 | Eva approving HIGH | u_en (Eva) | Eva (Delegate) | D-QM-02 Valid | Pass | VALID_SUBSTITUTION | Low | High | N/A | N/A |
| CHG-510 | Clara approving HIGH | u_cs (Clara) | Clara (Engineer) | D-IC-04 Invalid | Fail (RR1) | UNAUTHORIZED | High | High | Misunderstanding of subdelegation | Farid's instruction record |

## 4. Collusion and Alternative-Explanation Analysis

| Indicator | Benign Explanation | Adverse Explanation | Discriminating Evidence |
|---|---|---|---|
| **Clara/Ben Repeated Pair** (18/23 HIGH) | Efficient cell pairing; Ben is the designated backup QM for Clara's production line. | Collusive bypass; Clara drafts, Ben rubber-stamps without review. | Review comments depth; Time delta between Draft and Approve. |
| **Ben's Account on Sick Leave** (CHG-506, CHG-505 Review) | Ben worked from home despite sick certification; IT failed to disable access. | Credential sharing; Clara or Diego used Ben's ID to progress workflow. | IP geolocation; Keystroke dynamics; Badge access logs. |
| **Service Account `svc_qms`** (CHG-503, CHG-509) | Legacy integration; automatically attributes to logged-in workstation owner. | Intentional obfuscation to hide SoD violations (Diego verifying own work). | Individual re-authentication prompts; Session token user ID. |
| **Asha VPN on Leave** (CHG-504) | Emergency override authorized verbally by Site Director. | Leave fraud; Asha was working normally while claiming leave. | Email approval for leave exception; VPN traffic volume. |
| **Invalid Subdelegation** (CHG-510) | Clara misunderstood Farid's authority limits. | Farid knowingly delegated prohibited authority to expedite cooling fix. | Chat logs between Farid/Clara; Incident Commander handover notes. |

## 5. PM4Py and pandas Checking Code

```python
import pandas as pd
import io
import pm4py
from datetime import datetime, timedelta

# 1. Reconstruct Event CSV
csv_data = """case:concept:name,concept:name,time:timestamp,org:resource,risk,scope,emergency
CHG-501,Draft_Change_Request,2026-08-11T08:00:00Z,u_cs,HIGH,production_equipment,false
CHG-501,Approve_Change,2026-08-11T09:00:00Z,u_bk,HIGH,production_equipment,false
CHG-501,Implement_Change,2026-08-11T10:00:00Z,u_dm,HIGH,production_equipment,false
CHG-501,Verify_Implementation,2026-08-11T11:00:00Z,u_en,HIGH,production_equipment,false
CHG-501,Close_Change,2026-08-11T12:00:00Z,u_cs,HIGH,production_equipment,false
CHG-502,Draft_Change_Request,2026-08-12T08:00:00Z,u_cs,LOW,production_equipment,false
CHG-502,Approve_Change,2026-08-12T08:30:00Z,u_cs,LOW,production_equipment,false
CHG-502,Implement_Change,2026-08-12T09:00:00Z,u_dm,LOW,production_equipment,false
CHG-502,Verify_Implementation,2026-08-12T10:00:00Z,u_en,LOW,production_equipment,false
CHG-503,Draft_Change_Request,2026-08-12T11:00:00Z,u_cs,HIGH,production_equipment,false
CHG-503,Approve_Change,2026-08-12T11:30:00Z,u_bk,HIGH,production_equipment,false
CHG-503,Implement_Change,2026-08-12T12:00:00Z,u_dm,HIGH,production_equipment,false
CHG-503,Verify_Implementation,2026-08-12T12:30:00Z,svc_qms,HIGH,production_equipment,false
CHG-504,Draft_Change_Request,2026-08-13T08:30:00Z,u_cs,HIGH,production_equipment,false
CHG-504,Approve_Change,2026-08-13T09:22:00Z,u_as,HIGH,production_equipment,false
CHG-504,Implement_Change,2026-08-13T10:00:00Z,u_dm,HIGH,production_equipment,false
CHG-504,Verify_Implementation,2026-08-13T11:00:00Z,u_en,HIGH,production_equipment,false
CHG-505,Draft_Change_Request,2026-08-11T12:20:00Z,u_cs,HIGH,cooling_system,true
CHG-505,Approve_Change,2026-08-11T13:00:00Z,u_fl,HIGH,cooling_system,true
CHG-505,Implement_Change,2026-08-11T13:10:00Z,u_dm,HIGH,cooling_system,true
CHG-505,Verify_Implementation,2026-08-11T15:00:00Z,u_en,HIGH,cooling_system,true
CHG-505,Retrospective_QM_Review,2026-08-14T16:00:00Z,u_bk,HIGH,cooling_system,true
CHG-506,Draft_Change_Request,2026-08-13T10:00:00Z,u_cs,HIGH,production_equipment,false
CHG-506,Approve_Change,2026-08-13T13:00:00Z,u_bk,HIGH,production_equipment,false
CHG-506,Implement_Change,2026-08-13T14:00:00Z,u_dm,HIGH,production_equipment,false
CHG-506,Verify_Implementation,2026-08-13T15:00:00Z,u_en,HIGH,production_equipment,false
CHG-507,Draft_Change_Request,2026-08-09T08:00:00Z,u_cs,HIGH,production_equipment,false
CHG-507,Approve_Change,2026-08-09T09:00:00Z,u_en,HIGH,production_equipment,false
CHG-507,Implement_Change,2026-08-09T10:00:00Z,u_dm,HIGH,production_equipment,false
CHG-507,Verify_Implementation,2026-08-09T11:00:00Z,u_gl,HIGH,production_equipment,false
CHG-508,Draft_Change_Request,2026-08-12T14:00:00Z,b.koch,LOW,training_document,false
CHG-508,Approve_Change,2026-08-12T14:30:00Z,u_bk,LOW,training_document,false
CHG-508,Implement_Change,2026-08-12T15:00:00Z,u_cs,LOW,training_document,false
CHG-508,Verify_Implementation,2026-08-12T15:30:00Z,u_en,LOW,training_document,false
CHG-509,Draft_Change_Request,2026-08-15T09:00:00Z,u_cs,HIGH,training_document,false
CHG-509,Approve_Change,2026-08-15T10:00:00Z,u_en,HIGH,training_document,false
CHG-509,Implement_Change,2026-08-15T11:00:00Z,u_cs,HIGH,training_document,false
CHG-509,Verify_Implementation,2026-08-15T12:00:00Z,svc_qms,HIGH,training_document,false
