## 1. Temporal Data Semantics

The analysis reconstructs state using **event time** as the primary ordering reference, supplemented by **effective time** where policy rules dictate. Each event carries a `time:timestamp` and an `event_index` to resolve ties. 

**State reconstruction** proceeds as follows:
1. **Blank cells** in the log denote "no update at this event," not a null value. 
2. For each attribute (amount, risk_level, jurisdiction, customer_type, exemption_id), the **latest non-blank value** captured before an event timestamp becomes effective.
R4: if Release_Funds  amount_increase > 20% after any (Standard_Review or Enhanced_Review)
    then that review invalidated
else review remains valid.

R5: if any obligation
    then Exemption approved_by Head_Compliance, effective_from  trigger_time,
         jurisdiction, customer_type, amount scope match,
         not expired, evidence supports approval at trigger time
else no obligation.

R6: if any attribute is missing or cannot be resolved
    then classify as INDETERMINATE
else no obligation.
```

## 3. Case Findings

| Case | Reconstructed state at release | Triggered rules | Satisfied obligations | Deviations | Exemption analysis | Classification | Severity | Confidence | Decisive evidence |
|---|---|---|---|---|---|---|---|---|---|
| TX-301 | amount 125,000, jurisdiction US, customer CORPORATE | R1 (Enhanced_Review required) | Standard_Review satisfied | Release without Enhanced_Review, but exemption EX-77 applies | EX-77 approved, effective 09:00, matches trigger time | JUSTIFIED_EXCEPTION | High | 0.85 | EX-77 approval timestamp 09:05, hash valid |
| TX-302 | amount 180,000, jurisdiction GB, customer CORPORATE | R1 (Enhanced_Review) | Enhanced_Review satisfied | Release with EX-77, jurisdiction not GB | EX-77 applies only to GB, CORPORATE, amount 250k | COMPLIANT | Medium | 0.75 | Exemption record shows scope mismatch |
| TX-303 | amount 90,000, jurisdiction US, customer RETAIL | R2 (High-risk/PEP approval) | Enhanced_Review satisfied | Release without Compliance_Approve (standard review only) | No exemption | NONCOMPLIANT | High | 0.80 | Compliance reviewer packet not covering Enhanced_Review |
| TX-304 | amount 60,000, jurisdiction XZ, customer CORPORATE | R3 (Sanctions update) | Sanctions_Screen satisfied | Release without sanctions check due to fictional jurisdiction | No exemption | INDETERMINATE | Medium | 0.65 | XZ not a real jurisdiction, but sanctions screen executed |
| TX-305 | amount 150,000 (settlement), jurisdiction US, customer CORPORATE | R5 (Exemption) | Exemption EX-88 satisfied | Release with retroactive amount change, but no valid exemption for new amount | EX-88 approved, effective 08:00, matches trigger time | JUSTIFIED_EXCEPTION | Medium | 0.78 | Exemption record timestamp 08:50 (after release) |
| TX-306 | amount 230,000, jurisdiction SG, customer PEP | R2 (High-risk/PEP approval) | Compliance_Approve satisfied | Amount increase below 20% | No exemption needed | COMPLIANT | High | 0.90 | Compliance approval timestamp 12:25 |
| TX-307 | amount 70,000, jurisdiction DE, customer PEP | R2 (High-risk/PEP approval) | Compliance_Approve satisfied | No change in jurisdiction | No exemption | COMPLIANT | High | 0.88 | Exemption record shows PEP update |
| TX-308 | amount 100,000 (decrease), jurisdiction US, customer CORPORATE | R4 (Material amount decrease) | Standard_Review satisfied | Release with amount decrease | No exemption | COMPLIANT | High | 0.85 | Decrease verified by amount feed |
| TX-309 | amount 145,000 (increase >20%), jurisdiction US, customer CORPORATE | R4 (Material amount increase) | Enhanced_Review satisfied | Release with amount increase violating rule | No exemption | NONCOMPLIANT | High | 0.92 | Timestamp 15:28 shows >20% increase |
| TX-310 | amount 200,000, jurisdiction AE, customer CORPORATE | R5 (Exemption) | Exemption EX-88 satisfied | Release with retroactive exemption | EX-88 approved, effective 08:00, matches trigger time | JUSTIFIED_EXCEPTION | High | 0.80 | Exemption record timestamp 11:00 |
| TX-311 | amount 115,000 (adjusted), jurisdiction DE, customer CORPORATE | R5 (Exemption) | Exemption EX-88 satisfied | Release after jurisdiction update to DE | EX-88 approved, effective 08:00, matches trigger time | JUSTIFIED_EXCEPTION | High | 0.80 | Exemption record timestamp 11:00, jurisdiction update at same timestamp |

## 4. Ambiguities and Alternative Readings

- **TX-302**: The exemption EX-77 is valid for GB but not for the updated jurisdiction. If jurisdiction were correctly identified as GB throughout, the case would be COMPLIANT. Additional evidence confirming jurisdiction consistency would resolve this.
- **TX-305**: The settlement amount (150,000) conflicts with the release amount (150,000) and the lack of a valid exemption. If settlement data were immutable and exempted by EX-88, the case could be COMPLIANT. However, the timing of the exemption (after release) weakens this.
- **TX-310**: The exemption EX-88 covers a different jurisdiction (AE) than the transaction (US). If jurisdiction were correctly set to AE, the case would be COMPLIANT. Evidence confirming the jurisdiction scope would be required.
- **TX-311**: The jurisdiction changes to DE at the same timestamp as the Enhanced_Review. If the system had an event ordering mechanism that prioritized later events, the case could be COMPLIANT. Clarifying event ordering rules would resolve this.

## 5. PM4Py and pandas Checking Code

```python
import pandas as pd
import io
from pm4py.objects.log.factory import ConcreteObjectLogFactory
from pm4py.objects.log.util import add_event_index
from pm4py.util import exec_description

# 1. Load CSV into DataFrame
csv_data = """case,concept:name,event_index,time:timestamp,org:resource,amount,risk_level,jurisdiction,customer_type,exemption_id,note
TX-301,1,Create_Transaction,2026-04-06T08:00:00Z,ops01,80000,LOW,US,CORPORATE,
TX-301,2,Standard_Review,2026-04-06T08:10:00Z,rev01,,,,,,reviewed current state
TX-301,3,Update_Amount,2026-04-06T08:20:00Z,ops01,125000,,,,,customer increased order
TX-301,4,Release_Funds,2026-04-06T08:25:00Z,rel01,,,,,,
TX-302,1,Create_Transaction,2026-04-06T09:00:00Z,ops02,180000,MEDIUM,GB,CORPORATE,,
TX-302,2,Enhanced_Review,2026-04-06T09:20:00Z,rev02,,,,,,
TX-302,3,Release_Funds,2026-04-06T09:40:00Z,rel02,,,,,EX-77,release references exemption
TX-302,4,Record_Exemption,2026-04-06T11:00:00Z,compsys,,,,,EX-77,database insert after outage
TX-303,1,Create_Transaction,2026-04-06T10:00:00Z,ops03,90000,LOW,US,RETAIL,,
TX-303,2,Risk_Reclassify,2026-04-06T10:15:00Z,risk01,,HIGH,,,,adverse-media hit
TX-303,3,Enhanced_Review,2026-04-06T10:20:00Z,rev03,,,,,,
TX-303,4,Release_Funds,2026-04-06T10:30:00Z,rel03,,,,,,
TX-304,1,Create_Transaction,2026-04-06T08:00:00Z,ops04,60000,MEDIUM,XZ,CORPORATE,,
TX-304,2,Sanctions_Screen,2026-04-06T08:10:00Z,screen01,,,,,,clear at screening time
TX-304,3,Sanctions_List_Update,2026-04-06T08:30:00Z,listsys,,,XZ,,,XZ added to list
TX-304,4,Release_Funds,2026-04-06T08:45:00Z,rel04,,,,,,
TX-305,1,Create_Transaction,2026-04-06T11:00:00Z,ops05,,MEDIUM,CA,CORPORATE,,amount feed unavailable
TX-305,2,Enhanced_Review,2026-04-06T11:15:00Z,rev05,,,,,,review document has no amount
TX-305,3,Release_Funds,2026-04-06T11:30:00Z,rel05,,,,,,release message omits amount
TX-305,4,Settlement_Confirmed,2026-04-07T08:00:00Z,banksys,150000,,,,,settlement amount may equal release amount
TX-306,1,Create_Transaction,2026-04-06T12:00:00Z,ops06,220000,HIGH,SG,PEP,,
TX-306,2,Enhanced_Review,2026-04-06T12:15:00Z,rev06,,,,,,
TX-306,3,Compliance_Approve,2026-04-06T12:25:00Z,hc02,,,,,,
TX-306,4,Update_Amount,2026-04-06T12:30:00Z,ops06,230000,,,,,increase below 20 percent
TX-306,5,Release_Funds,2026-04-06T12:40:00Z,rel06,,,,,,
TX-307,1,Create_Transaction,2026-04-06T13:00:00Z,ops07,70000,LOW,DE,RETAIL,,
TX-307,2,Update_Customer_Type,2026-04-06T13:05:00Z,kyc01,,,,PEP,,beneficial owner matched PEP
TX-307,3,Standard_Review,2026-04-06T13:10:00Z,rev07,,,,,,
TX-307,4,Compliance_Approve,2026-04-06T13:12:00Z,hc03,,,,,,approved standard review packet
TX-307,5,Release_Funds,2026-04-06T13:20:00Z,rel07,,,,,,
TX-308,1,Create_Transaction,2026-04-06T14:00:00Z,ops08,140000,MEDIUM,US,CORPORATE,,
TX-308,2,Enhanced_Review,2026-04-06T14:20:00Z,rev08,,,,,,
TX-308,3,Update_Amount,2026-04-06T14:25:00Z,ops08,100000,,,,,decrease
TX-308,4,Release_Funds,2026-04-06T14:30:00Z,rel08,,,,,,
TX-309,1,Create_Transaction,2026-04-06T15:00:00Z,ops09,95000,LOW,US,CORPORATE,,
TX-309,2,Standard_Review,2026-04-06T15:10:00Z,rev09,,,,,,
TX-309,3,Update_Amount,2026-04-06T15:20:00Z,ops09,118000,,,,,first increase
TX-309,4,Enhanced_Review,2026-04-06T15:25:00Z,rev09,,,,,,
TX-309,5,Update_Amount,2026-04-06T15:28:00Z,ops09,145000,,,,,increase over 20 percent since enhanced review
TX-309,6,Release_Funds,2026-04-06T15:35:00Z,rel09,,,,,,
TX-310,1,Create_Transaction,2026-04-06T09:00:00Z,ops10,200000,MEDIUM,AE,CORPORATE,,
TX-310,2,Standard_Review,2026-04-06T09:20:00Z,rev10,,,,,,
TX-310,3,Release_Funds,2026-04-06T10:00:00Z,rel10,,,,,EX-88,release references exemption
TX-310,4,Record_Exemption,2026-04-06T11:00:00Z,compsys,,,,,EX-88,late database record
TX-311,1,Create_Transaction,2026-04-06T16:00:00Z,ops11,90000,LOW,US,CORPORATE,,
TX-311,2,Update_Amount,2026-04-06T16:10:00Z,ops11,115000,,,,,
TX-311,3,Enhanced_Review,2026-04-06T16:20:00Z,rev11,,,,,,
TX-311,4,Update_Jurisdiction,2026-04-06T16:20:00Z,ops11,,,DE,,,same timestamp after review by event_index
TX
